clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
354,Fernando Buttenbender Prass,fernando-prass,Fernando Prass,38140,11,1,7,-0.9,5.09,-0.91,3.32,11,0,0,0,1,0,4,15,0,16,0,95,0,0,0,0,0,0,0
354,Augusto Sérgio Ferreira,guto-ferreira,Guto Ferreira,37245,11,6,7,3.75,8.44,-0.44,3.71,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Cléber Bomfim de Jesus,cleber,Cléber,104125,11,5,7,5.1,11.59,0.1,3.91,11,0,19,0,0,0,0,0,0,0,11,35,0,0,6,11,3,5,0
354,Rafael Augusto Sobis do Nascimento,rafael-sobis,Rafael Sobis,37798,11,5,6,0,6.4,0,1.44,9,0,3,0,0,0,0,0,0,0,1,18,0,2,2,6,0,1,0
354,Carlos Eduardo Santos Oliveira,eduardo,Eduardo,50645,11,2,7,2,3.65,-0.06,1.6,3,0,2,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0
354,Wescley Gomes dos Santos,wescley,Wescley,70925,11,4,6,9.2,4.06,1.6,2.87,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0
354,Felipe de Oliveira Silva,felipe-baxola,Felipe Baxola,71113,11,4,6,0.7,3.54,-0.04,0.17,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
354,Diogo José Gonçalves da Silva,diogo-silva,Diogo Silva,71882,11,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Vinícius Goes Barbosa de Souza,vinicius,Vinícius,71162,11,4,7,8.6,9.55,-0.38,6.05,8,0,6,0,1,0,0,0,0,0,5,70,2,1,7,10,3,1,0
354,Bergson Gustavo Silveira da Silva,bergson,Bergson,68696,11,5,6,0,1.92,0,0.45,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
354,Luiz Otávio Anacleto Leandro,luiz-otavio,Luiz Otávio,72359,11,3,7,-2.2,3.86,-2.91,2.13,9,0,12,0,4,0,3,0,0,0,1,31,0,0,0,1,1,0,0
354,Samuel Xavier Brito,samuel-xavier,Samuel Xavier,73384,11,2,6,5.4,6.3,0.17,2.8,10,0,18,0,2,1,4,0,0,0,17,105,1,0,1,1,0,0,0
354,Ricardo Dias Acosta,ricardinho,Ricardinho,78577,11,4,7,0,2.47,0,0.1,5,0,3,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0
354,Eduardo Schroeder Brock,eduardo-brock,Eduardo Brock,78654,11,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Richard de Oliveira da Costa,richard,Richard,78851,11,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Tiago Pagnussat,tiago,Tiago ,79042,11,3,7,0,7.31,0,4.32,6,0,5,0,1,0,3,0,0,0,6,34,0,0,0,1,0,0,0
354,Gabriel Santos Cordeiro Lacerda,gabriel-lacerda,Gabriel Lacerda,108176,11,3,6,0,3.38,-0.24,3.45,7,0,3,0,0,0,3,0,0,0,3,31,1,0,1,0,0,0,0
354,Fábio Gonçalves,fabinho,Fabinho,80393,11,4,6,0,3.38,0,1.66,8,0,4,0,2,0,0,0,0,0,6,19,0,0,1,0,0,0,0
354,Fernando Pereira do Nascimento,fernando-sobral,Fernando Sobral,84428,11,4,7,3.3,12.29,-0.19,5.28,11,0,20,0,1,0,0,0,0,0,25,62,3,0,6,7,0,4,0
