clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
263,Rafael Navarro Leal,rafael-navarro,Rafael Navarro,105770,12,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Victor Luis Chuab Zamblauskas,victor-luis,Victor Luis,86410,12,2,7,13.5,11.6,2.23,7.47,6,0,4,0,0,0,2,0,0,0,3,59,0,0,2,1,2,0,0
263,Kevin Peterson dos Santos Silva,kevin,Kevin ,91888,12,2,7,2.2,3.32,0.6,2.17,7,0,6,0,1,0,1,0,0,0,6,72,0,0,3,1,0,0,0
263,Keisuke Honda,honda,Honda,69940,12,4,6,0,4.88,0,1.96,7,0,8,0,0,0,0,0,0,0,2,37,0,0,1,4,0,0,0
263,Roberto Junior Fernández Torres,gatito-fernandez,Gatito Fernández,74061,12,1,6,0,14.9,0,5.6,8,0,0,0,1,0,3,13,0,7,0,62,0,0,0,0,0,0,0
263,Bruno dos Santos Nazário,bruno-nazario,Bruno Nazário,81776,12,4,5,0.9,7.18,-1.14,2.92,10,0,15,0,0,0,0,0,0,0,13,80,1,0,8,7,1,0,0
263,Márcio Almeida de Oliveira,marcinho,Marcinho,93797,12,2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Pedro Raul Garay da Silva,pedro-raul,Pedro Raul,98225,12,5,2,1.5,5.37,0.35,1.25,6,0,12,0,1,0,0,0,0,0,9,29,0,0,1,4,1,1,0
263,Marcelo da Conceição Benevenuto Malaquias,marcelo-benevenuto,Marcelo Benevenuto,95638,12,3,7,0,7.63,0,2.99,10,0,4,0,2,0,3,0,0,0,7,30,0,0,1,4,0,0,0
263,Saulo Ferreira Silva Nascimento,saulo,Saulo,89492,12,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Victor Hugo Soares dos Santos,kanu,Kanu,98484,12,3,7,-0.9,4.76,-0.79,3.12,11,0,5,0,1,0,3,0,0,0,13,33,0,0,1,3,0,0,0
263,Luiz Otávio Alves Marcolino,luiz-otavio,Luiz Otávio,94269,12,4,2,3.1,2.76,0.65,0.75,11,0,3,0,0,0,0,0,0,0,3,11,0,0,3,1,0,0,0
263,Diego Cavalieri,diego-cavalieri,Diego Cavalieri,38431,12,1,7,-2.9,4.73,-1,0,3,0,0,0,0,0,0,3,0,5,0,20,0,0,0,0,0,0,0
