clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
294,Matheus Bueno Batista,matheus-bueno,Matheus Bueno,101832,12,4,7,0.8,2.18,-0.57,1.37,11,0,13,0,1,0,0,0,0,0,12,38,0,0,3,1,0,0,0
294,Natanael Moreira Milouski,natanael,Natanael,107554,12,2,3,0.9,1.53,-0.94,1.98,6,0,7,0,0,1,1,0,0,0,7,27,0,0,0,2,0,0,0
294,Henrique Vermudt,henrique-vermudt,Henrique Vermudt,104504,12,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Nathanael Ananias da Silva,nathan-silva,Nathan Silva,95794,12,4,6,0,2.39,0,-0.13,3,0,10,0,2,0,0,0,0,0,4,12,0,0,0,1,0,0,0
294,Alex Roberto Santana Rafael ,alex-muralha,Alex Muralha,79066,12,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Matheus Galdezani,matheus-galdezani,Matheus Galdezani,82634,12,4,6,-0.2,10.43,-0.61,4.17,11,0,8,0,1,0,0,0,0,0,21,64,0,1,5,6,0,0,0
294,Wilson Rodrigues de Moura Júnior,wilson,Wilson,50284,12,1,7,-8.6,7.35,-3.58,3.52,12,0,0,0,0,0,3,15,1,16,2,98,0,0,0,0,0,0,0
294,Thiago Ferreira Lopes,thiago-lopes,Thiago Lopes,92225,12,4,6,-0.1,2.4,-0.32,1,2,0,2,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0
294,Ricardo de Oliveira,ricardo-oliveira,Ricardo Oliveira,38910,12,5,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Wellissol Santos de Oliveira ,wellissol,Wellissol ,94718,12,5,6,0,1.1,0,-0.07,4,0,5,0,2,0,0,0,0,0,7,3,0,0,0,0,0,0,0
294,Geovane Henrique Pereira de Souza,geovane,Geovane,96349,12,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Rodolfo Filemon de Oliveira da Silva,rodolfo-filemon,Rodolfo Filemon,97925,12,3,7,-0.2,0.78,-0.66,-0.14,9,0,13,0,4,1,3,0,0,0,3,42,0,0,1,1,0,0,0
294,Ramón Martínez López,ramon-martinez,Ramón Martínez,92155,12,4,6,1.4,3.4,0.15,1.2,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
294,Nathan Otávio Ribeiro,nathan-ribeiro,Nathan Ribeiro,102607,12,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,José Sabino Chagas Monteiro,sabino,Sabino,104075,12,3,7,1.8,7.68,-0.47,4.29,12,0,4,1,0,0,3,0,0,0,11,71,0,1,0,2,3,1,0
294,Guilherme da Trindade Dubas,guilherme-biro,Guilherme Biro,107555,12,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Hugo Moura Arruda da Silva,hugo-moura,Hugo Moura,101594,12,4,7,0,2.46,-0.42,0.97,6,0,8,0,1,0,0,0,0,0,7,21,0,0,0,3,0,0,0
294,Martín Nicolás Sarrafiore,sarrafiore,Sarrafiore,101315,12,4,6,1.7,2.63,0.68,0.85,4,0,4,0,1,0,0,0,0,0,4,18,0,0,1,5,0,0,0
294,Neilton Meira Mestzk,neilton,Neilton,83772,12,5,2,0,5.41,0,1.58,5,0,7,0,0,0,0,0,0,0,5,23,0,0,0,4,0,0,0
294,Yan Medeiros Sasse,yan-sasse,Yan Sasse,96055,12,4,6,0,0.86,0,-0.95,6,0,6,0,1,1,0,0,0,0,4,12,0,0,0,0,0,1,0
294,Christian Kendji Wagatsuma Ferreira,kazu,Kazu,107137,12,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Diego Santos Monteiro,diego-monteiro,Diego Monteiro,107136,12,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Nathan Uilian Fogaça,nathan,Nathan ,102667,12,5,6,-0.7,0.78,0.04,-0.35,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
294,Luiz Henrique Augustin ,luiz-henrique,Luiz Henrique,104526,12,4,6,0,1.46,0,0.58,6,0,4,0,0,0,0,0,0,0,2,13,0,0,0,1,0,0,0
