clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
266,Miguel Silveira dos Santos,miguel,Miguel,105612,12,4,6,0,1.92,0,0.35,2,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
266,Danilo Carvalho Barcelos,danilo-barcelos,Danilo Barcelos,84382,12,2,7,1.3,2.83,0.66,-1.34,5,0,12,0,2,1,1,0,0,0,0,59,0,0,2,1,0,0,0
266,Anderson Luiz de Carvalho,nene,Nenê,38913,12,4,7,5.2,13.51,-1.51,6.26,10,0,5,0,2,0,0,0,0,0,21,106,1,0,4,13,5,0,0
266,Frederico Chaves Guedes,fred,Fred,38162,12,5,7,0.4,2.76,-0.23,0.95,6,0,6,0,2,0,0,0,0,0,8,11,0,0,0,1,1,0,0
266,Matheus Ferraz Pereira,matheus-ferraz,Matheus Ferraz,38632,12,3,7,9.2,6.58,0.58,9.2,1,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0
266,Egídio de Araújo Pereira Júnior,egidio,Egídio,42145,12,2,6,0,10.22,0,4.71,10,0,13,0,0,0,1,0,0,0,6,129,2,0,4,1,0,0,0
266,Hudson Rodrigues dos Santos,hudson,Hudson,50324,12,4,7,2.4,5.35,0.38,1.36,5,0,9,0,0,1,0,0,0,0,3,22,0,0,0,0,0,0,0
266,Paulo Henrique Chagas de Lima,ganso,Ganso,62977,12,4,6,8,5.4,1.25,1.84,9,0,6,0,2,0,0,0,0,0,5,23,1,0,0,3,1,0,0
266,Rodrigo Júnior Paula Silva,digao,Digão,68886,12,3,6,0,4.91,0,4.05,4,0,5,0,1,0,1,0,0,0,2,9,0,0,0,2,1,0,0
266,Marcelo de Araújo Pitaluga Filho,marcelo-pitaluga,Marcelo Pitaluga ,101478,12,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Marcos Paulo Costa do Nascimento,marcos-paulo,Marcos Paulo,103645,12,5,6,0,5.33,0,1.13,11,0,3,0,0,0,0,0,0,0,1,33,1,0,0,4,0,1,0
266,Michel Daryl Araújo Villar,michel-araujo,Michel Araújo ,107173,12,4,7,11,8.38,1.92,3.85,11,0,17,0,2,0,0,0,0,0,40,49,0,0,4,7,1,1,0
266,Caio Fernando de Oliveira,caio-paulista,Caio Paulista,102318,12,5,5,0,3.31,0,1.43,3,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
266,Muriel Gustavo Becker,muriel,Muriel,69041,12,1,7,8,5.6,1.43,2.22,9,0,0,0,0,0,2,9,0,9,0,80,0,0,0,0,0,0,0
266,Wellington Alves da Silva,wellington-silva,Wellington Silva,68895,12,5,5,6,4.52,1.28,2.14,10,0,6,0,3,0,0,0,0,0,19,22,1,0,1,3,1,1,0
266,Igor de Carvalho Julião,igor-juliao,Igor Julião,81951,12,2,7,10.6,5.11,2.12,3.12,6,0,14,0,3,0,1,0,0,0,12,41,2,0,1,2,0,0,0
266,Luccas Claro dos Santos,luccas-claro,Luccas Claro,73465,12,3,6,0,5.33,0,1.77,10,0,4,0,0,0,1,0,0,0,7,55,0,0,0,2,0,2,0
266,Marcos Felipe de Freitas Monteiro,marcos-felipe,Marcos Felipe ,85004,12,1,6,0,0.77,0,-1.3,3,0,0,0,0,0,0,1,0,5,1,34,1,0,0,0,0,0,0
266,Douglas Moreira Fagundes,dodi,Dodi,89883,12,4,7,4.1,11.19,0.54,4.26,11,0,15,0,2,0,0,0,0,0,16,36,0,0,4,4,1,0,0
266,Yuri Oliveira Lima,yuri-lima,Yuri Lima,90569,12,4,6,0,1.8,0,0.94,7,0,11,0,3,0,0,0,0,0,4,27,0,0,2,3,0,0,0
266,Marcílio Florêncio Mota Filho,nino,Nino,91708,12,3,7,15,6.64,2.8,1.96,10,0,9,0,2,0,1,0,0,0,12,43,0,0,0,3,1,0,0
266,Yago Felipe da Costa Rocha,yago-felipe,Yago Felipe,87747,12,4,6,0.4,3.22,-0.21,1.32,9,0,9,0,0,0,0,0,0,0,12,26,0,0,2,4,0,1,0
266,Odair Hellmann,odair-hellmann,Odair Hellmann,92273,12,6,7,8.81,9.99,1.62,3.53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
