clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
265,Anderson Vieira Martins,anderson-martins,Anderson Martins,52618,13,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,José Carlos Ferreira Júnior,juninho,Juninho,92182,13,3,6,0,8.29,0,2.43,10,0,2,0,0,1,1,0,0,0,4,34,0,0,2,1,1,1,0
265,Ramon Rodrigo de Carvalho,ramon,Ramon,103515,13,4,6,0,0.78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Thiago Eduardo de Andrade,thiago-andrade,Thiago Andrade,109404,13,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Gilberto Oliveira Souza Júnior,gilberto,Gilberto,61188,13,5,7,1.9,7.46,0.29,2.34,10,0,9,0,1,0,0,0,0,0,11,48,1,1,11,10,0,4,1
265,Rodrigo Eduardo Costa Marinho,rodriguinho,Rodriguinho,61033,13,4,5,0,14.89,0,4.68,10,0,7,0,0,0,0,0,0,0,23,68,1,1,5,7,3,2,0
265,Lucas Fonseca da Silva,lucas-fonseca,Lucas Fonseca,80189,13,3,2,0.5,4,-0.22,-0.13,3,0,3,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
265,Anderson Pedro Nunes da Silva Campos,anderson,Anderson,38001,13,1,6,0,0.76,0,-1.23,4,0,0,0,0,0,0,4,0,9,1,34,0,0,0,0,0,0,0
265,Ernando Rodrigues Lopes,ernando,Ernando,49651,13,3,7,0.9,5.8,0.08,2.06,9,0,4,0,0,0,1,0,0,0,1,31,0,0,3,2,1,0,0
265,Severino do Ramo Clementino da Silva,nino-paraiba,Nino Paraíba,68808,13,2,7,-0.3,7.66,-0.24,2.2,9,0,9,0,2,0,1,0,0,0,6,77,0,0,1,1,0,0,0
265,Gregore de Magalhães da Silva,gregore,Gregore,95464,13,4,7,6.7,6.9,1.45,0.87,8,0,23,0,4,1,0,0,0,0,3,36,1,0,1,3,0,0,0
265,José Élber Pimentel da Silva,elber,Élber,74140,13,5,7,0.7,9.09,0.19,3.64,11,0,5,0,0,0,0,0,0,0,28,68,1,1,6,5,1,4,0
265,Elton Júnior Melo Ataíde,elton,Elton,71719,13,4,6,0,3.66,0,1.3,3,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
265,Ronaldo da Silva Souza,ronaldo,Ronaldo,92981,13,4,6,0,4.03,0,1.94,8,0,18,0,3,0,0,0,0,0,9,26,1,0,0,2,0,0,0
265,Luis Antônio da Rocha Júnior,juninho-capixaba,Juninho Capixaba,94968,13,2,7,1,7.23,-0.01,2.98,8,0,9,0,1,0,1,0,0,0,6,92,1,0,2,2,0,1,0
265,Daniel Sampaio Simões,daniel,Daniel,93791,13,4,6,0.6,3.91,-0.02,1.64,9,0,8,0,1,0,0,0,0,0,11,29,0,0,0,4,1,0,0
265,Alesson dos Santos Batista,alesson,Alesson,97321,13,4,6,0,1.41,0,0.9,4,0,2,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0
265,Marco Antônio Rosa Furtado Júnior,marco-antonio,Marco Antônio,94975,13,4,7,1.1,3.55,-0.05,2.66,7,0,3,0,0,0,0,0,0,0,8,19,1,0,1,1,1,0,0
265,Douglas Alan Schuck Friedrich,douglas-friedrich,Douglas Friedrich,78584,13,1,7,-4.2,8.06,-1.68,2.78,6,0,0,0,0,0,1,6,0,5,2,33,0,0,0,0,0,0,0
265,Jefferson Gabriel Nascimento Brito,fessin,Fessin,97994,13,4,6,4.4,2.28,0.86,1.95,2,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
265,Matheus Bonifácio Saldanha Marinho,saldanha,Saldanha,107088,13,5,6,8,2.74,1.9,0.96,9,0,4,0,1,0,0,0,0,0,2,11,0,0,1,5,1,3,0
265,Rosicley Pereira da Silva,rossi,Rossi,81798,13,5,6,0,5.42,0,1.55,10,0,8,0,2,0,0,0,0,0,14,65,0,0,3,3,1,2,0
265,Clayson Henrique da Silva Vieira,clayson,Clayson,83817,13,5,6,-0.6,4.2,0.13,0.99,8,0,9,0,1,0,0,0,0,0,6,43,0,0,5,4,1,3,1
265,Wanderson Santos Pereira,wanderson,Wanderson,86143,13,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,José Carlos Cracco Neto,zeca,Zeca,87192,13,2,6,0,4.83,0,1.1,5,0,3,0,1,0,1,0,0,0,0,14,0,0,0,3,0,0,0
265,João Pedro Maturano dos Santos,joao-pedro,João Pedro ,89273,13,2,6,0,4.26,0,-0.8,1,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
