clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
276,Joao Robin Rojas Mendoza,joao-rojas,Joao Rojas,70784,16,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Tiago Luis Volpi,tiago-volpi,Tiago Volpi,72018,16,1,7,0,13.71,0,3.42,13,0,0,0,0,0,4,13,1,13,2,105,0,0,0,0,0,0,0
276,Fernando Diniz Silva,fernando-diniz,Fernando Diniz,72391,16,6,7,0,9.9,0,3.88,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Luciano da Rocha Neves,luciano,Luciano,80287,16,5,7,0,7.89,0,4.62,11,0,17,0,3,0,0,0,0,0,17,57,1,1,2,4,4,2,0
276,Juan Francisco Torres Belén,juanfran,Juanfran,72620,16,2,5,0,6.82,0,2.58,6,0,6,0,1,0,2,0,0,0,5,28,0,0,1,2,0,0,0
276,Bruno Fabiano Alves,bruno-alves,Bruno Alves,73620,16,3,7,0,8.27,0,2.34,7,0,7,0,1,0,3,0,0,0,7,16,0,0,0,0,0,0,0
276,Leonardo Pinheiro da Conceição,leo,Léo,85626,16,2,6,0,4.8,0,2.06,10,0,7,0,1,0,2,0,0,0,11,52,1,0,0,1,0,0,0
276,Reinaldo Manoel da Silva,reinaldo,Reinaldo,78850,16,2,7,0,15.85,0,5.67,11,0,16,0,3,0,4,0,0,0,9,146,1,0,6,4,3,0,0
276,Danilo das Neves Pinheiro,tche-tche,Tchê Tchê,86686,16,4,7,0,7.8,0,2.13,13,0,9,0,2,0,0,0,0,0,20,45,0,0,6,7,0,0,0
276,Vitor Frezarin Bueno,vitor-bueno,Vitor Bueno,87552,16,4,6,0,8.6,0,3.35,10,0,3,0,1,0,0,0,0,0,15,44,0,0,4,7,2,1,0
276,Santiago Tréllez Vivero,trellez,Tréllez,87679,16,5,6,0,3.17,0,0.55,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
276,Pablo Felipe Teixeira,pablo,Pablo,69138,16,5,6,0,7.51,0,2.16,10,0,21,0,1,0,0,0,0,0,10,20,1,0,4,16,1,7,0
276,Daniel Alves da Silva,daniel-alves,Daniel Alves,38939,16,4,7,0,11.37,0,2.95,8,0,17,0,1,0,0,0,0,0,19,94,0,0,3,8,1,2,0
276,Anderson Hernanes de Carvalho Andrade Lima,hernanes,Hernanes,38648,16,4,5,0,8.29,0,2.75,6,0,10,0,1,0,0,0,0,0,12,25,0,0,3,3,1,0,0
276,Lucas Estella Perri,lucas-perri,Lucas Perri,91260,16,1,5,0,1.1,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
