clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
264,Vagner Carmo Mancini,vagner-mancini,Vagner Mancini,39850,17,6,6,1.77,7,-0.69,3.47,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Cássio Roberto Ramos,cassio,Cássio,42234,17,1,6,-10.6,5.46,-1.12,-0.19,13,0,1,0,1,1,2,11,0,22,0,59,0,0,0,0,0,0,0
264,Guilherme de Aguiar Camacho,camacho,Camacho,68770,17,4,6,2.9,3.16,0.49,0.56,8,0,14,0,2,0,0,0,0,0,2,17,0,1,1,0,0,0,0
264,Walter Leandro Capeloza Artune,walter,Walter,51413,17,1,6,0,8.21,0,17.9,1,0,0,0,2,0,1,4,0,0,0,11,0,0,0,0,0,0,0
264,Fagner Conserva Lemos,fagner,Fagner,42500,17,2,6,2,10.55,-0.59,2.68,11,0,12,0,2,1,2,0,0,0,8,127,0,0,3,2,1,0,0
264,Fábio Santos Romeu,fabio-santos,Fábio Santos,38229,17,2,6,0,6.12,0,3.28,5,0,2,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0
264,Carlos Gilberto do Nascimento Silva,gil,Gil,68923,17,3,6,9.6,6.94,0.69,3.12,13,0,9,1,1,0,3,0,0,0,5,58,1,1,1,2,1,1,0
264,João Alves de Assis Silva,jo,Jô,38138,17,5,6,0,10.67,0,2.51,13,0,9,0,0,0,0,0,0,0,13,49,1,1,5,5,3,5,1
264,Mauro Boselli,boselli,Boselli,69161,17,5,6,-0.6,5.25,-0.21,0.13,7,0,1,0,0,0,0,0,0,0,1,7,0,0,0,2,0,0,0
264,Marllon Gonçalves Jerônimo Borges,marllon,Marllon,70666,17,3,6,4,5.39,0.47,4.5,2,0,1,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0
264,Danilo Fernando Avelar,danilo-avelar,Danilo Avelar,72142,17,3,5,0,6.45,0,2.83,10,0,15,0,1,1,2,0,0,0,4,39,0,0,6,2,2,0,0
264,Ramiro Moschen Benetti,ramiro,Ramiro,78715,17,4,6,0,5.78,0,2.28,11,0,18,0,3,0,0,0,0,0,6,63,0,1,2,5,1,0,0
264,Gabriel Girotto Franco,gabriel,Gabriel,78605,17,4,6,1.8,4.35,0.15,1.71,11,0,17,0,4,0,0,0,0,0,12,45,1,0,1,2,0,0,0
264,Michel Macedo Rocha Machado,michel,Michel,80664,17,2,6,0,4.76,0,2.7,4,0,1,0,0,0,1,0,0,0,6,20,0,0,1,2,0,1,0
