clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
290,Rafael Martiniano de Miranda Moura,rafael-moura,Rafael Moura,37655,20,5,6,-0.1,5.81,-0.28,2.39,11,0,20,0,2,0,0,0,0,0,10,52,0,0,6,6,4,15,0
290,Daniel Sartori Bessa,daniel-bessa,Daniel Bessa,103591,20,4,5,0,6.46,0,2.65,12,0,19,0,3,0,0,0,0,0,9,74,0,1,4,4,2,0,0
290,Breno Washington Rodrigues da Silva,breno,Breno,106083,20,4,3,-7.4,2.84,-1.96,1.77,13,0,29,0,3,1,0,0,0,0,12,40,0,1,1,4,0,0,0
290,Fábio Pizarro Sanches,fabio-sanches,Fábio Sanches,71604,20,3,5,0,5.78,0,2.5,13,0,9,1,1,0,3,0,0,0,11,31,0,0,1,3,0,0,0
290,Heron Crespo da Silva,heron,Heron,105339,20,3,6,-0.1,0.79,0,-0.41,9,0,8,0,2,0,0,0,0,0,2,27,0,0,0,0,0,0,0
290,Iago Pereira Mendonça,iago-mendonca,Iago Mendonça,105278,20,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Sandro Raniere Guimarães Cordeiro,sandro,Sandro,62111,20,4,6,0.5,2.7,0.12,0.11,8,0,14,0,3,0,0,0,0,0,7,19,0,0,0,1,0,1,0
290,Henrique Almeida Caixeta Nascentes,henrique-almeida,Henrique Almeida,68773,20,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Gilberto dos Santos Souza Júnior,gilberto,Gilberto,73789,20,4,7,0.8,2.54,-0.01,0.32,6,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
290,Victor Andrade Santos,victor-andrade,Victor Andrade,80536,20,5,6,0,5.41,-0.35,3.16,9,0,17,0,4,0,0,0,0,0,28,25,0,0,1,9,2,0,0
290,Daniel Alberto Villalva Barrios,keko,Keko ,81683,20,5,7,0,2.78,0,1.7,11,0,9,0,2,0,0,0,0,0,15,60,2,1,1,5,0,3,0
290,Marcelo Rangel da Rosa,marcelo-rangel,Marcelo Rangel,82730,20,1,6,0,0.77,0,-3.45,2,0,0,0,1,0,0,1,0,3,0,29,0,0,0,0,0,0,0
290,Lucas Vinícius Gonçalves Silva,lucao-do-break,Lucão do Break,83199,20,5,6,0,1.92,0,-2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Wanderson de Jesus Martins,caju,Caju,89342,20,2,7,0,3.42,-0.25,2.48,10,0,7,0,0,0,2,0,0,0,7,88,1,0,1,3,0,0,0
290,Matheus Alves da Silva Cardoso,matheus-alves,Matheus Alves,91712,20,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,David de Duarte Macedo,david-duarte,David Duarte,91772,20,3,7,0.4,3.76,-0.39,2.91,10,0,5,0,0,1,2,0,0,0,4,54,0,0,3,3,1,0,0
290,Jefferson Junio Antônio da Silva,jefferson,Jefferson,95220,20,2,6,0,5.37,0,1.83,9,0,7,1,1,1,2,0,0,0,7,56,0,0,0,2,1,1,0
290,Miguel Ferreira Damasceno,miguel-figueira,Miguel Figueira,102565,20,4,6,0,1.37,0,0.52,6,0,9,0,1,0,0,0,0,0,4,12,1,0,0,1,0,0,0
290,Kaio Nunes Ferreira,kaio,Kaio,102563,20,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Kevin Martín Quevedo Mathey,quevedo,Quevedo,102197,20,5,6,0,0.85,0,0.4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
290,José Joaquim de Carvalho,zeca,Zeca,94976,20,5,6,0,0.75,0,-1.07,3,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
290,Cristiano da Silva Vidal,vidal,Vidal,95540,20,2,6,0,1.43,0,-0.7,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
290,Shaylon Kallyson Cardoso,shaylon,Shaylon,97520,20,4,2,0,4.44,0,3.4,5,0,1,0,0,0,0,0,0,0,4,29,0,0,2,0,1,0,0
290,Filipe Cândido da Trindade,filipe-trindade,Filipe Trindade,105341,20,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Matheus Rezende Assis,rezende,Rezende,93798,20,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Vinícius Lopes da Silva,vinicius,Vinícius,104660,20,5,7,4.4,5.45,0.63,4.76,13,0,23,0,2,0,0,0,0,0,29,46,2,0,9,7,3,0,0
290,Tadeu Antônio Ferreira,tadeu,Tadeu,82453,20,1,7,7.3,8.94,1.51,2.91,14,0,1,0,0,0,3,21,1,27,2,130,0,0,1,0,0,0,0
290,Juan de Dios Pintado Leines,pintado,Pintado,107565,20,2,7,5.2,3.48,1.11,2.37,10,0,13,0,3,0,1,0,0,0,8,43,0,0,1,1,0,1,0
290,Douglas Baggio de Oliveira Costa,douglas-baggio,Douglas Baggio,88072,20,5,2,3.1,4.46,-0.17,2.34,10,0,11,0,0,0,0,0,0,0,16,32,0,1,3,5,0,1,0
290,Jurani Francisco Ferreira,ratinho,Ratinho,101841,20,4,6,0,2.26,0,1.04,7,0,10,0,2,0,0,0,0,0,4,13,0,0,0,2,0,0,0
290,Henrique Lordelo Souza de Oliveira,henrique-lordelo,Henrique Lordelo,107259,20,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Walisson Oliveira da Silva,walisson-pequeno,Walisson Pequeno,101696,20,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Daniel de Pauli Oliveira,daniel-oliveira,Daniel Oliveira,106076,20,2,6,0,1.64,0,1.16,5,0,6,0,1,0,1,0,0,0,1,5,0,0,0,1,0,0,0
290,Enderson Alves Moreira,enderson-moreira,Enderson Moreira,62137,20,6,7,2.27,6.01,0.05,2.72,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Gustavo Blanco Petersen Macedo,gustavo-blanco,Gustavo Blanco,91191,20,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Sebastián Enrique Salazar Beltrán,salazar,Salazar,91415,20,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,José Fernando Viana de Santana,fernandao,Fernandão,62033,20,5,7,8.9,5.8,1.26,2.54,5,0,3,0,0,0,0,0,0,0,2,14,0,0,2,4,1,0,0
290,Luis Francisco Grando,chico,Chico,50446,20,3,7,-0.3,3.82,-1.18,-0.3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
