clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
284,Renato Portaluppi,renato-gaucho,Renato Gaúcho,41929,20,6,7,6.35,12.87,0.25,3.73,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Victor Ferraz Macedo,victor-ferraz,Victor Ferraz,70046,20,2,7,0,7.73,0,1.28,4,0,3,0,1,0,0,0,0,0,1,37,1,0,1,2,0,0,0
284,Pedro Tonon Geromel,pedro-geromel,Pedro Geromel,80853,20,3,6,0,10.89,0,4.1,8,0,8,0,2,1,3,0,0,0,5,49,0,0,0,4,0,0,0
284,Vanderlei Farias da Silva,vanderlei,Vanderlei,62121,20,1,7,0,9.16,0,2.25,14,0,0,0,1,0,4,11,0,12,3,80,0,0,0,0,0,0,0
284,Diego Souza de Andrade,diego-souza,Diego Souza,68911,20,5,2,0,9.07,0,2.54,13,0,20,0,2,1,0,0,0,0,14,72,1,0,4,11,4,1,1
284,Diogo Barbosa Mendanha,diogo-barbosa,Diogo Barbosa,70916,20,2,7,5,8.57,0.18,3.22,14,0,9,0,1,0,2,0,0,0,14,84,1,0,1,6,0,0,0
284,Everton Cardoso da Silva,everton,Everton,50301,20,4,6,1.6,5.26,0.6,1.57,8,0,13,0,1,0,0,0,0,0,10,41,1,0,3,2,0,4,0
284,Lucas Silva Borges,lucas-silva,Lucas Silva,79701,20,4,2,0,4.55,0,1.38,17,0,15,0,3,0,0,0,0,0,22,57,0,0,4,5,0,0,0
284,Júlio César Jacobi,julio-cesar,Júlio César,49673,20,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,David Braz de Oliveira Filho,david-braz,David Braz,50317,20,3,7,3.7,9.1,-1.32,3.96,15,0,12,0,0,1,4,0,0,0,6,69,0,0,2,5,2,0,0
284,Maicon Thiago Pereira de Souza,maicon,Maicon,38196,20,4,5,0,3.1,0,0.5,9,0,6,0,1,0,0,0,0,0,2,31,0,0,1,3,0,0,0
284,Jonathan Doin,paulo-miranda,Paulo Miranda,68817,20,3,6,5,3.19,1.12,1.14,7,0,11,0,1,0,2,0,0,0,2,35,0,0,0,0,0,0,0
284,Paulo Victor Mileo Vidotti,paulo-victor,Paulo Victor,68873,20,1,6,8,6.76,1.15,4.24,5,0,0,0,0,0,2,5,0,5,0,38,1,0,0,0,0,0,0
284,Bruno Cortês Barbosa,bruno-cortez,Bruno Cortez,72079,20,2,6,0,9.63,0,2.82,15,0,16,0,1,1,5,0,0,0,16,97,0,0,1,1,0,2,0
284,Alisson Euler de Freitas Castro,alisson,Alisson,81845,20,4,5,0,11.51,0,5.76,13,0,12,0,1,0,0,0,0,0,35,109,4,1,13,17,1,4,0
284,Thaciano Mickael da Silva,thaciano,Thaciano,87470,20,4,6,2.8,5.31,-0.15,2.12,10,0,8,0,1,0,0,0,0,0,8,24,0,0,3,5,1,0,0
284,Leonardo Gomes da Conceição Silva,leonardo,Leonardo,86973,20,2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
