clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
282,Alan Steven Franco Palma,franco,Franco,39656,22,4,6,0,5.05,0,2.1,16,0,26,0,1,0,0,0,0,0,14,58,0,0,4,4,3,1,0
282,Mariano Ferreira Filho,mariano,Mariano,38877,22,2,6,0,7.98,0,2.64,7,0,8,0,1,0,1,0,0,0,5,72,1,0,1,0,0,0,0
282,Réver Humberto Alves Araújo,rever,Réver,52253,22,3,6,0,7.32,0,3.29,14,0,10,0,2,0,4,0,0,0,10,71,1,0,1,5,1,0,0
282,Victor Leandro Bagy,victor,Victor,52950,22,1,6,0,5.4,0,-9.2,1,0,0,0,1,0,0,0,0,3,0,12,0,0,0,0,0,0,0
282,Rafael Pires Monteiro,rafael,Rafael,68928,22,1,6,-0.9,7.01,-0.8,2,9,0,1,0,0,1,4,6,0,7,0,65,0,0,0,0,0,0,0
282,Jair Rodrigues Júnior,jair,Jair,81091,22,4,6,0,7.29,0,2.93,18,0,41,0,5,0,0,0,0,0,41,63,2,0,1,7,1,0,0
282,Hyoran Kaue Dalmoro,hyoran,Hyoran,85931,22,4,6,0.7,10.93,-0.17,3.48,14,0,20,0,1,0,0,0,0,0,16,70,2,1,7,9,2,2,0
282,Nathan Allan de Souza,nathan,Nathan,87009,22,4,6,1.6,10.02,-0.16,4.23,13,0,6,0,0,0,0,0,0,0,7,36,1,0,7,6,3,2,0
282,Guilherme Antonio Arana Lopes,guilherme-arana,Guilherme Arana,87228,22,2,6,1.5,16.51,-1.57,5.06,21,0,25,0,3,0,7,0,0,0,17,225,3,0,15,15,3,1,0
282,Gabriel Costa França,gabriel,Gabriel,87393,22,3,6,0,7.19,0,3.9,2,0,2,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0
282,Júnior Osmar Ignacio Alonso Mujica,junior-alonso,Júnior Alonso,88312,22,3,6,-1,9.77,-0.61,3.08,17,0,28,0,5,0,6,0,0,0,1,111,1,1,4,10,0,0,0
282,Diego Tardelli Martins,diego-tardelli,Diego Tardelli,38231,22,5,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Eduardo Jesús Vargas Rojas,vargas,Vargas,69102,22,5,6,0,9.74,0,5.3,1,0,0,0,1,0,0,0,0,0,2,8,1,0,0,2,0,1,0
282,Igor Rabello da Costa,igor-rabello,Igor Rabello,89493,22,3,6,7.6,12.18,1.2,3.18,16,0,16,0,1,0,5,0,0,0,14,71,1,1,1,1,1,0,0
282,Eduardo Colcenti Antunes,eduardo-sasha,Eduardo Sasha,70360,22,5,6,9.6,9.22,1.57,3.7,17,0,14,0,1,0,0,0,0,0,20,57,2,1,9,7,4,2,1
282,Dylan Felipe Borrero Caicedo,borrero,Borrero,106843,22,4,6,-3.2,2,-0.4,-1.77,4,0,3,0,2,1,0,0,0,0,0,14,0,0,0,1,0,0,0
282,Jorge Sampaoli,jorge-sampaoli,Jorge Sampaoli,70800,22,6,6,3.36,14.14,-0.02,4.46,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Marcos da Silva França,keno,Keno,86485,22,5,6,9.7,14.93,0.3,7.37,20,0,25,0,4,0,0,0,0,0,30,188,3,4,21,25,10,17,0
282,Everson Felipe Marques Pires,everson,Everson,72294,22,1,6,0,8.25,0,2.31,12,0,0,0,0,0,3,11,0,16,1,58,1,0,0,0,0,0,0
282,Wellington Daniel Bueno,bueno,Bueno,97425,22,3,6,0.8,6.89,0.1,2.39,7,0,6,0,0,0,3,0,0,0,1,16,0,0,0,1,0,0,0
282,Gustavo Henrique Santos,gustavo-henrique,Gustavo Henrique,107963,22,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Sávio Moreira de Oliveira,savio,Sávio,109463,22,5,6,0,0.99,0,1,6,0,2,0,0,0,0,0,0,0,5,22,0,0,3,2,0,1,0
282,Calebe Gonçalves Ferreira da Silva,calebe,Calebe,109461,22,4,6,0.3,0.85,-0.09,0.55,2,0,5,0,0,0,0,0,0,0,3,5,0,0,0,2,0,0,0
282,Samuel Conceição Toscas,samuel-toscas,Samuel Toscas,110630,22,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Cláudio Rodrigues Gomes,guga,Guga,101319,22,2,6,0,13.11,0,4.89,18,0,19,0,1,0,7,0,0,0,21,143,1,1,2,6,1,0,0
282,Luiz Filipe dos Reis Silva,luiz-filipe,Luiz Filipe,110632,22,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Wesley Hudson da Silva,wesley,Wesley,110631,22,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Jean Carlos Batista,jean,Jean,110640,22,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Sivaldo de Jesus Santos Junior,junior-santos,Júnior Santos,110626,22,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Marrony da Silva Liberato,marrony,Marrony,101717,22,5,6,1.4,9.8,-1.22,2.95,19,0,18,0,1,0,0,0,0,0,9,17,1,1,8,6,4,0,0
282,Talison Ruan da Silva,talison,Talison,104415,22,2,6,5.1,3.18,2.18,5.1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
282,Guilherme Santos da Silva,guilherme-santos,Guilherme Santos,104414,22,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Isaque Storoli Gavioli,isaque,Isaque,104413,22,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Jefferson David Savarino Quintero,savarino,Savarino,98672,22,5,6,2.4,6.52,-1.43,3.68,17,0,14,0,2,0,0,0,0,0,18,116,4,3,5,17,3,7,0
282,José Marcos Costa Martins,marquinhos,Marquinhos,98765,22,5,6,0.6,3.86,-0.04,1.4,11,0,13,0,0,0,0,0,0,0,5,35,1,1,1,4,0,3,0
282,Allan Rodrigues de Souza,allan,Allan,96652,22,4,6,0,6.42,0,1.59,18,0,23,0,3,0,0,0,0,0,13,106,0,1,2,11,0,0,0
282,Federico Matías Javier Zaracho,zaracho,Zaracho,100079,22,4,6,0.8,9.49,-0.42,2.48,5,0,5,0,0,0,0,0,0,0,2,11,0,0,1,1,1,0,0
