clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
373,Matheus de Vargas,matheus-vargas,Matheus Vargas,87929,24,4,2,3,3.32,0.45,1.22,18,0,20,0,2,0,0,0,0,0,28,50,1,0,2,12,0,0,0
373,Willian Marlon Ferreira Moraes,willian-maranhao,Willian Maranhão,87262,24,4,7,-1.7,2.46,-0.23,1.1,12,0,20,0,2,1,0,0,0,0,7,31,0,0,2,5,0,1,0
373,Gilvan Souza Correa,gilvan,Gilvan,82773,24,3,2,0,5.41,0,2.22,14,0,22,0,5,0,4,0,0,0,7,20,0,0,1,3,1,0,0
373,Maurício Kozlinski,mauricio-kozlinski,Maurício Kozlinski,72595,24,1,6,0,1.56,0,-7.8,1,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0
373,Jean Paulo Fernandes Filho,jean,Jean,90933,24,1,7,-2.3,8.49,-2.55,4.04,22,0,1,0,1,0,6,27,1,25,8,187,0,0,1,1,1,0,0
373,Gustavo Henrique Ferrareis,gustavo-ferrareis,Gustavo Ferrareis,89815,24,4,2,0.1,7.76,-0.01,1.97,20,0,29,0,4,0,0,0,0,0,38,91,1,0,3,13,2,6,0
373,Éder Ferreira Graminho,eder,Éder ,91203,24,3,7,0.8,3.69,-0.91,1.26,19,0,21,0,3,0,5,0,0,0,11,77,0,0,1,2,0,0,0
373,José Brandão Gonçalves Júnior,junior-brandao,Júnior Brandão,93909,24,5,6,0,2.07,0,0.46,11,0,8,0,0,0,0,0,0,0,1,10,0,0,2,4,0,0,0
373,Marlon Rodrigues Freitas,marlon-freitas,Marlon Freitas,93790,24,4,7,0,5.53,0,1.81,17,0,22,0,2,1,0,0,0,0,15,103,0,1,9,11,0,0,0
373,Lucas da Cruz Oliveira,oliveira,Oliveira,94514,24,3,6,0,3,0,2.82,9,0,9,0,2,0,2,0,0,0,7,34,0,0,0,1,2,0,0
373,Nicolas Vichiatto da Silva,nicolas,Nicolas,95127,24,2,7,0.1,7.13,-0.58,3.02,21,0,24,0,0,0,6,0,0,0,11,238,3,0,6,11,0,2,0
373,Vitor Benedito Leque da Silva,vitor,Vitor,108714,24,5,6,0,1.26,0,1.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
373,Danilo Alves da Silva,danilo,Danilo,107981,24,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,João Victor da Silva Marcelino,joao-victor,João Victor,104250,24,3,2,1.8,3.3,-0.29,2.37,16,0,19,0,6,0,4,0,0,0,17,60,1,0,1,1,0,0,0
373,Luís Eduardo Marques dos Santos,dudu,Dudu,97133,24,2,7,-1.2,4.66,-1.56,2.83,21,0,23,0,2,1,5,0,0,0,25,178,0,0,2,6,0,2,0
373,Ricardo Santos Silva,ricardo,Ricardo,105519,24,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Odair Marciano de Oliveira Filho,odair,Odair,108745,24,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Michel Custódio Gonçalves de Sousa,michel,Michel,105809,24,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Edson Fernandes Botelho Júnior,edson-junior,Edson Júnior,93956,24,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Janderson Santos de Souza,janderson,Janderson,97245,24,5,7,0,5.34,-0.07,3.04,19,0,17,0,1,0,0,0,0,0,23,115,3,0,6,12,2,1,0
373,Natanael Batista Pimenta,natanael,Natanael,86264,24,2,6,0,3.54,0,1.99,8,0,6,0,1,0,2,0,0,0,8,52,0,0,1,3,0,1,0
