clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
293,Márcio Gonzaga de Azevedo,marcio-azevedo,Márcio Azevedo,42491,25,2,5,0,2.88,0,0.18,6,0,9,0,1,0,1,0,0,0,4,49,0,0,0,0,0,1,0
293,Thiago Heleno Henrique Ferreira,thiago-heleno,Thiago Heleno,38394,25,3,7,0,4.69,0,2.53,16,0,14,1,3,1,5,0,0,0,15,77,1,0,2,9,1,0,0
293,Walter Henrique da Silva,walter,Walter,62128,25,5,6,0,3.11,0,0.38,10,0,3,0,0,0,0,0,0,0,6,18,0,0,1,3,0,1,0
293,Luis Oscar González,lucho-gonzalez,Lucho González,71479,25,4,6,-0.6,2.66,0.04,-0.1,8,0,6,0,1,0,0,0,0,0,3,26,0,1,0,1,0,3,0
293,Geuvânio Santos Silva,geuvanio,Geuvânio,73896,25,5,6,0,4.57,0,2.37,11,0,15,0,4,0,0,0,0,0,13,44,2,1,7,2,1,1,0
293,Jandrei Chitolina Carniel,jandrei,Jandrei,86508,25,1,6,0,9.01,0,5.35,4,0,0,0,0,0,2,5,0,3,0,26,0,0,0,0,0,0,0
293,Fernando Canesin Matos,fernando-canesin,Fernando Canesin,81585,25,4,6,0,0.98,0,-0.52,6,0,4,0,2,0,0,0,0,0,1,14,0,0,0,1,0,0,0
293,Carlos Eduardo Ferreira de Souza,carlos-eduardo,Carlos Eduardo,90917,25,5,7,3.5,5.8,0.38,3.18,17,0,11,0,0,0,0,0,0,0,20,48,2,0,3,6,3,2,0
293,Jonathan Cícero Moreira,jonathan,Jonathan,37662,25,2,6,0,9.64,0,3.07,8,0,4,0,2,0,4,0,0,0,4,45,1,0,0,0,0,0,0
293,José Ivaldo Almeida Silva,ze-ivaldo,Zé Ivaldo,91866,25,3,7,-0.6,5.29,-0.37,1.95,6,0,5,0,1,0,2,0,0,0,2,22,0,0,0,3,0,0,0
293,Erick Luis Conrado de Carvalho,erick,Erick,98022,25,4,5,-1,4.18,-0.55,2.03,17,0,36,0,5,0,0,0,0,0,5,58,1,0,7,13,0,0,0
293,Felipe Aguilar Mendoza,aguilar,Aguilar,95494,25,3,6,0.7,5.19,-0.71,1.71,8,0,4,1,1,0,2,0,0,0,2,11,0,0,1,2,0,0,0
293,Guilherme Bissoli Campos,bissoli,Bissoli,100762,25,5,6,1.5,2.37,0.48,0.68,8,0,5,0,0,0,0,0,0,0,3,8,0,1,2,1,0,2,0
293,Lucas Halter,lucas-halter,Lucas Halter,102253,25,3,6,0,2.68,0,0.79,7,0,7,0,1,0,0,0,0,0,4,30,1,0,1,1,0,0,0
293,Vitor Hugo Naum dos Santos,vitinho,Vitinho,101960,25,5,5,0,15.46,0,5.9,5,0,13,0,1,0,0,0,0,0,11,29,1,1,4,2,2,0,0
293,Khellven Douglas Silva Oliveira,khellven,Khellven ,105175,25,2,7,0,3.98,0,0.77,8,0,10,0,2,0,1,0,0,0,2,55,0,0,0,2,0,0,0
293,Lucas Eduardo Ribeiro de Souza,edu,Edu,105842,25,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Abner Vinícius da Silva Santos,abner-vinicius,Abner Vinícius,104513,25,2,7,-0.9,8.57,-0.92,2.75,20,0,23,0,3,0,6,0,0,0,11,189,2,0,5,7,1,1,0
293,Aderbar Melo dos Santos Neto,santos,Santos,69012,25,1,7,3.6,6.17,-0.79,1.95,18,0,1,0,0,0,4,12,3,21,1,129,0,0,0,0,0,0,0
293,Leonardo Cittadini,leo-cittadini,Léo Cittadini,70986,25,4,7,0.4,12.09,-2.04,3.82,20,0,41,0,4,0,0,0,0,0,34,74,0,0,8,17,3,0,0
