clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
285,Patrick Bezerra do Nascimento,patrick,Patrick,83433,25,4,7,10.8,13.35,1.25,5.29,21,0,30,0,1,0,0,0,0,0,44,103,2,3,7,10,4,2,0
285,Thiago Galhardo do Nascimento Rocha,thiago-galhardo,Thiago Galhardo,71844,25,4,7,1.7,18.11,-0.02,7.47,23,0,22,0,1,1,0,0,0,0,33,107,5,0,14,20,15,14,1
285,Leonardo Ferreira Gonçalves,leo-ferreira,Léo Ferreira,107760,25,5,6,0,1.45,0,1.5,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,3,0,1,0
285,Moisés Roberto Barbosa,moises,Moisés,90444,25,2,7,3.2,10.25,-0.26,3.38,15,0,34,0,1,0,6,0,0,0,5,149,2,1,1,5,0,2,0
285,José Paolo Guerrero Gonzales,paolo-guerrero,Paolo Guerrero,75295,25,5,5,0,20.81,0,11.2,3,0,7,0,0,0,0,0,0,0,5,15,1,1,1,3,3,3,0
285,Vinicius Augusto Tobias da Silva,vinicius-tobias,Vinicius Tobias,110688,25,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Vinicius Silveira de Mello,vinicius-silveira,Vinicius Silveira,110687,25,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Maximiliano Ezequiel Zalazar,maxi-salazar,Maxi Salazar,110689,25,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Murilo Gomes Barreto Neto,murilo,Murilo,107755,25,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,João Victor Tavares de Souza,joao-tavares,João Tavares,110690,25,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Rodrigo Dourado Cunha,rodrigo-dourado,Rodrigo Dourado,78865,25,4,6,-4.3,3.6,-1.19,-0.01,7,0,7,0,2,0,0,0,0,0,5,11,0,0,0,0,0,0,0
285,Marcos Guilherme de Almeida Santos Matos,marcos-guilherme,Marcos Guilherme ,83266,25,4,2,0.1,2.85,-0.43,0.48,22,0,21,0,2,0,0,0,0,0,10,47,1,1,3,6,0,7,0
285,Gabriel Boschilia,boschilia,Boschilia,86841,25,4,5,0,8.45,0,3.81,13,0,24,0,2,0,0,0,0,0,14,92,1,0,9,5,1,0,0
285,Keiller da Silva Nunes,keiller,Keiller,93834,25,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Renzo Saravia,saravia,Saravia,96725,25,2,5,0,18.78,0,7.96,8,0,12,0,1,0,5,0,0,0,15,56,1,0,1,2,0,0,0
285,Gustavo Nonato Santana,nonato,Nonato,100987,25,4,6,0,4.19,0,3.78,6,0,11,0,3,0,0,0,0,0,12,18,0,0,1,1,1,0,0
285,João Gabriel Martins Peglow,peglow,Peglow,106821,25,4,6,-1,1.54,-1.02,1.21,7,0,7,0,1,0,0,0,0,0,1,13,1,0,0,1,1,2,0
285,Víctor Leandro Cuesta,victor-cuesta,Víctor Cuesta,79113,25,3,7,0.9,10.08,-0.04,2.34,23,0,32,0,7,0,9,0,0,0,24,161,0,0,2,1,0,0,0
285,Pedro Henrique Alves Santana,pedro-henrique,Pedro Henrique,105840,25,3,6,0,0.77,0,-1,1,0,2,0,1,0,0,0,0,0,1,7,0,0,1,0,0,0,0
285,Bruno Conceição Praxedes,praxedes,Praxedes,107744,25,4,2,0,0.79,0,-0.11,9,0,10,0,3,0,0,0,0,0,5,44,0,0,0,3,0,1,0
285,Matheus Isaías dos Santos,matheus-jussa,Matheus Jussa,91689,25,3,6,0,2.32,0,0.9,2,0,5,0,2,0,1,0,0,0,1,12,0,0,0,0,0,0,0
285,Tiago Barbosa Figueiredo,tiago-barbosa,Tiago Barbosa,107742,25,3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Carlos Eduardo da Silva Rodrigues Lima,carlos-eduardo,Carlos Eduardo,107756,25,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Emerson Fabiano Kerber Júnior,emerson-junior,Emerson Júnior,107740,25,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Nicolas Miguel Morsch,nicolas,Nicolas,107752,25,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Andrés Nicolas D'Alessandro,d-alessandro,D'Alessandro,62023,25,4,2,-0.1,2.49,0.04,0.06,19,0,5,0,3,0,0,0,0,0,11,76,0,0,4,3,0,3,0
285,Rodrigo Modesto da Silva Moledo,rodrigo-moledo,Rodrigo Moledo,63354,25,3,7,5.5,7.24,0.56,3.66,15,0,10,0,2,1,6,0,0,0,21,25,0,0,1,1,1,0,0
285,Edenílson Andrade Dos Santos,edenilson,Edenílson,63289,25,4,7,0.7,7.91,-0.39,2.28,21,0,35,0,5,0,0,0,0,0,24,155,3,1,5,11,2,2,0
285,José Gabriel dos Santos Silva,ze-gabriel,Zé Gabriel,105902,25,4,6,0,2.67,0,1.52,19,0,19,0,1,1,0,0,0,0,15,87,0,0,0,2,0,0,0
285,Heitor Rodrigues da Fonseca,heitor,Heitor,104649,25,2,7,0.8,4.7,-0.95,4.49,9,0,11,0,3,1,2,0,0,0,12,63,4,0,2,1,0,0,0
285,Danilo Fernandes Batista,danilo-fernandes,Danilo Fernandes,69051,25,1,6,0,4.27,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,João Lucas Souza Cardoso,johnny,Johnny ,106002,25,4,5,0,2.14,0,2.21,7,0,3,0,0,0,0,0,0,0,5,23,0,0,1,2,0,0,0
285,Marcelo Lomba do Nascimento,marcelo-lomba,Marcelo Lomba,68872,25,1,7,-3,7.79,0.19,0.55,25,0,0,0,2,0,9,12,0,25,3,277,0,0,0,0,0,0,0
285,Yuri Alberto Monteiro da Silva,yuri-alberto,Yuri Alberto,100652,25,5,2,7.4,3.79,0.53,2.79,11,0,20,0,2,0,0,0,0,0,7,18,0,0,5,5,4,2,0
285,Rodrigo Oliveira Lindoso,rodrigo-lindoso,Rodrigo Lindoso,72362,25,4,7,1,4.02,0.16,0.77,20,0,37,0,5,0,0,0,0,0,12,78,1,0,3,3,0,0,0
285,Leonardo Borges da Silva,leonardo-borges,Leonardo Borges,105839,25,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Andrés Felipe Amaya Rivera,amaya,Amaya,109656,25,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Abel Mathías Hernández Platero,abel-hernandez,Abel Hernández,74159,25,5,6,0,7.74,0,2.98,14,0,10,0,1,0,0,0,0,0,8,29,1,0,6,8,2,2,0
285,Leandro Miguel Fernández,leandro-fernandez,Leandro Fernández,93303,25,5,6,0,6.45,0,1.62,6,0,6,0,2,0,0,0,0,0,7,30,1,0,4,8,0,4,0
285,Lucas Ribeiro dos Santos,lucas-ribeiro,Lucas Ribeiro,103088,25,3,6,0,2.78,0,-2,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0
285,Maurício Magalhães Prado,mauricio,Maurício,105647,25,4,6,0,6.72,0,4.13,4,0,2,0,0,0,0,0,0,0,5,12,1,0,1,0,1,0,0
285,Uendel Pereira Gonçalves,uendel,Uendel,60852,25,2,6,0,3.27,0,1.39,11,0,16,0,1,0,3,0,0,0,5,114,0,0,1,0,0,0,0
285,Rodinei Marcelo de Almeida,rodinei,Rodinei,73992,25,2,3,-3,3.8,-1.05,1.75,12,0,20,0,3,0,2,0,0,0,17,97,0,0,2,1,0,0,0
285,Damián Marcelo Musto,musto,Musto,94838,25,4,6,0,4.22,0,0.92,14,0,23,1,3,1,0,0,0,0,12,30,0,0,0,3,1,0,0
285,Abel Carlos da Silva Braga,abel-braga,Abel Braga,40006,25,6,7,1.76,9.62,-0.17,1.98,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Daniel de Sousa Brito,daniel,Daniel,96468,25,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Lucas Henrique Mazetti,mazetti,Mazetti,107741,25,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Caio Vidal Rocha,caio,Caio,107745,25,5,6,-1.3,1.49,-0.7,0.85,2,0,3,0,1,0,0,0,0,0,9,13,0,0,0,0,0,0,0
285,Lucas de Ramos Silveira,lucas-ramos,Lucas Ramos,106000,25,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
