clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
292,Hernane Vidal Souza,hernane,Hernane,72386,8,5,6,0.4,1.75,0.05,-0.13,7,0,3,0,2,0,0,0,0,0,8,4,0,0,0,0,0,0,0
292,Jonatan David Gomez Ospina,jonatan-gomez,Jonatan Gomez,94857,8,4,7,1.8,11.46,-0.01,2.89,8,0,7,0,0,0,0,0,0,0,14,32,0,0,2,10,1,1,0
292,Lucas Henrique Ferreira Venuto,lucas-venuto,Lucas Venuto,100290,8,5,6,0,2.27,0,1.5,4,0,2,0,0,0,0,0,0,0,10,20,0,1,0,0,0,0,0
292,José Rogério de Oliveira Melo,rogerio,Rogério,73540,8,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Carlos Eduardo Soares Mota,carlos-eduardo,Carlos Eduardo,90416,8,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Luciano Batista da Silva Junior,luciano-juba,Luciano Juba,107093,8,2,2,4.9,1.42,0.66,0.1,5,0,7,0,1,0,0,0,0,0,0,50,1,0,0,0,0,0,0
292,Francisco Alves da Silva Melo,chico,Chico,99253,8,3,6,0,1.5,0,0.3,3,0,2,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0
292,Maxwell Lima Santos Silva,maxwell,Maxwell,107092,8,5,6,0,2.54,0,1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
292,Helber Ítalo dos Santos,italo,Ítalo,109395,8,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Pedro Henrique Nunes Silva,pedrao,Pedrão,107541,8,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Túlio Galindo Bandeira de Melo,tulio,Túlio,109566,8,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Elton Rodrigues Brandão,elton,Elton,38588,8,5,7,-2.8,10.85,-0.89,1.92,8,0,12,1,1,0,0,0,0,0,3,33,0,1,5,9,2,8,0
292,Patric Cabral Lalau,patric,Patric,60969,8,2,7,5.6,8.82,-0.3,3.76,8,0,13,0,0,0,0,0,0,0,8,84,2,0,1,6,1,2,0
292,Lucas Andrés Mugni,lucas-mugni,Lucas Mugni,81121,8,4,6,-0.6,2.33,-0.41,0.52,5,0,4,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0
292,Ronaldo Henrique Silva,ronaldo-silva,Ronaldo Silva,71640,8,5,3,0,0.81,0,-2.2,3,0,1,0,1,1,0,0,0,0,0,3,0,0,1,0,0,2,0
292,Ricardo Ribeiro de Lima,ricardinho,Ricardinho,68832,8,4,7,1.4,2.61,0.07,1.03,6,0,3,0,1,0,0,0,0,0,5,14,0,0,4,1,0,0,0
292,Roberto Pimenta Vinagre Filho,betinho,Betinho,82876,8,4,7,2.6,4.8,-0.21,1.89,8,0,20,0,2,0,0,0,0,0,9,52,1,0,0,1,0,0,0
292,Marcos Antônio Almeida Silva,marcao-silva,Marcão Silva,78856,8,4,6,-0.5,3.49,-0.11,-0.07,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
292,Ewandro Felipe de Lima Costa,ewandro,Ewandro,86842,8,5,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Luan Polli Gomes,luan-polli,Luan Polli ,88916,8,1,7,-3,3.92,-0.97,-0.75,2,0,0,0,1,0,0,2,0,2,0,35,0,0,0,0,0,0,0
292,Raul Prata,raul-prata,Raul Prata,84855,8,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Rafael Thyere de Albuquerque Marques,rafael-thyere,Rafael Thyere,83048,8,3,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Leandro Barcia Montero,leandro-barcia,Leandro Barcia,91242,8,5,6,9.4,6.95,2.44,2.43,3,0,3,0,1,0,0,0,0,0,1,12,0,0,1,1,1,1,0
292,Iago Justen Maidana Martins,iago-maidana,Iago Maidana,89226,8,3,7,0.8,5.87,-1.11,2.5,8,0,11,0,2,0,0,0,0,0,6,49,0,0,1,4,2,0,0
292,Ronaldo Henrique Ferreira da Silva,ronaldo-henrique,Ronaldo Henrique,85149,8,4,7,2.4,3.87,0.68,2.07,3,0,2,0,1,0,0,0,0,0,4,8,0,0,0,0,0,0,0
292,Adryelson Shawann Lima Silva,adryelson,Adryelson,91664,8,3,7,0.8,2.85,-0.18,0.31,7,0,10,0,3,0,0,0,0,0,5,21,0,1,0,1,0,0,0
292,Alesandro dos Santos Pereira,ale-santos,Alê Santos,99256,8,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Bruno Roberto Pereira da Silva,bruninho,Bruninho,101716,8,4,6,0,4.4,0,2.48,4,0,1,0,1,0,0,0,0,0,1,13,0,1,3,2,0,0,0
292,Elias Lira Nogueira Júnior ,elias-lira,Elias Lira,99034,8,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Sander Henrique Bortolotto,sander,Sander,86391,8,2,2,-0.8,9.27,-1.19,3.17,7,0,4,0,0,0,0,0,0,0,13,53,0,0,1,1,0,0,0
292,João Igor Oliveira de Santana,joao-igor,João Igor,104217,8,4,6,0,2.9,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
292,Philip Luiz Soares da Silva,philip,Philip,73758,8,4,6,0,1.38,0,-0.4,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
292,Marcos Vinícius Sousa Natividade,marquinhos,Marquinhos,102292,8,5,7,8,7.28,1.26,3.95,8,0,11,0,2,0,0,0,0,0,34,41,0,0,0,4,1,0,0
292,Maílson Tenório dos Santos,mailson,Maílson,98034,8,1,6,0,1.89,0,0.27,6,0,1,0,1,0,0,6,0,8,1,54,0,0,0,0,0,0,0
292,Jair Ventura,jair-ventura,Jair Ventura,92180,8,6,7,2.76,5.63,0.29,2.51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
