clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
282,Diego Tardelli Martins,diego-tardelli,Diego Tardelli,5,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Eduardo Colcenti Antunes,eduardo-sasha,Eduardo Sasha,5,6,-0.2,7.62,-0.22,3.33,19,0,15,0,1,0,0,0,0,0,22,65,2,1,9,8,4,2,1
282,Everson Felipe Marques Pires,everson,Everson,1,6,12.8,10.36,2.9,2.59,14,0,0,0,0,0,4,13,0,18,1,63,1,0,0,0,0,0,0
282,Réver Humberto Alves Araújo,rever,Réver,3,6,2.5,7.67,0.34,3.05,16,0,13,0,3,0,5,0,0,0,10,78,1,0,1,5,1,0,0
282,Rafael Pires Monteiro,rafael,Rafael,1,6,0,7.01,0,2,9,0,1,0,0,1,4,6,0,7,0,65,0,0,0,0,0,0,0
282,José Marcos Costa Martins,marquinhos,Marquinhos,5,6,0,3.86,0,1.4,11,0,13,0,0,0,0,0,0,0,5,35,1,1,1,4,0,3,0
282,Victor Leandro Bagy,victor,Victor,1,6,0,5.4,0,-9.2,1,0,0,0,1,0,0,0,0,3,0,12,0,0,0,0,0,0,0
282,Hyoran Kaue Dalmoro,hyoran,Hyoran,4,6,0.2,10.79,-1.05,3.45,16,0,22,0,2,0,0,0,0,0,20,84,2,1,7,9,3,2,0
282,Nathan Allan de Souza,nathan,Nathan,4,6,3.1,10.11,0.48,3.87,15,0,6,0,0,0,0,0,0,0,9,38,1,0,8,6,3,2,0
282,Jorge Sampaoli,jorge-sampaoli,Jorge Sampaoli,6,6,4.79,14.22,0.57,4.33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Júnior Osmar Ignacio Alonso Mujica,junior-alonso,Júnior Alonso,3,6,4.4,10.47,0.7,3.15,18,0,29,0,5,0,7,0,0,0,2,117,1,1,4,10,0,0,0
