clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
263,Keisuke Honda,honda,Honda,4,7,5.2,6.35,1,2.94,16,0,21,0,1,0,0,0,0,0,10,84,0,0,5,10,2,0,0
263,Roberto Junior Fernández Torres,gatito-fernandez,Gatito Fernández,1,5,0,14.9,0,5.6,8,0,0,0,1,0,3,13,0,7,0,62,0,0,0,0,0,0,0
263,Cícero Santos,cicero,Cícero,4,6,0,4.72,0,0.67,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0
263,José Welison da Silva,jose-welison,José Welison,4,7,8.2,4.83,1.44,3.12,6,0,6,0,0,0,0,0,0,0,6,17,1,0,0,3,0,0,0
263,Diego Cavalieri,diego-cavalieri,Diego Cavalieri,1,7,-6.5,3.65,-0.73,-0.08,13,0,1,0,2,0,1,10,1,20,1,91,0,0,0,0,0,0,0
263,Bruno dos Santos Nazário,bruno-nazario,Bruno Nazário,4,3,1.2,6.88,-0.46,2.65,17,0,24,0,3,0,0,0,0,0,24,137,2,1,10,11,1,0,0
263,Salomon Armand Magloire Kalou,kalou,Kalou,5,7,-0.2,6.72,-0.48,1.66,15,0,14,0,0,0,0,0,0,0,15,61,1,0,4,5,1,1,0
263,Luiz Otávio Alves Marcolino,luiz-otavio,Luiz Otávio,4,6,0,1.83,0,0.38,14,0,8,0,0,0,0,0,0,0,3,15,0,0,3,1,0,0,0
263,Saulo Ferreira Silva Nascimento,saulo,Saulo,1,6,0,1.04,0,-2.8,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0
263,Márcio Almeida de Oliveira,marcinho,Marcinho,2,6,0,4.79,0,0.2,2,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0
263,Federico Barrandeguy Martino,barrandeguy,Barrandeguy,2,6,0,3.22,0,1.89,8,0,4,0,2,0,2,0,0,0,6,49,0,0,0,0,0,0,0
