clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
266,Danilo Carvalho Barcelos,danilo-barcelos,Danilo Barcelos,2,6,0,2.28,0,0.23,14,0,37,0,4,1,3,0,0,0,2,195,1,0,2,3,1,1,0
266,Anderson Luiz de Carvalho,nene,Nenê,4,6,3.9,13.16,-0.43,5.03,20,0,10,0,2,0,0,0,0,0,36,206,1,0,9,19,8,0,1
266,Marcos Paulo Costa do Nascimento,marcos-paulo,Marcos Paulo,5,6,2.4,6.34,-3.48,2.68,21,0,9,0,0,0,0,0,0,0,6,63,3,0,4,6,3,1,0
266,Wanderson Felippe Cardoso dos Santos,felippe-cardoso,Felippe Cardoso,5,6,0,1.75,0,0.54,15,0,18,0,2,0,0,0,0,0,10,27,0,0,5,4,1,7,0
266,Caio Fernando de Oliveira,caio-paulista,Caio Paulista,5,6,-1.2,3.6,-0.54,2.2,15,0,10,0,1,0,0,0,0,0,12,43,1,0,2,4,2,3,0
266,Michel Daryl Araújo Villar,michel-araujo,Michel Araújo ,4,6,3.6,6.87,-0.51,3.13,18,0,25,0,5,0,0,0,0,0,55,77,0,1,8,15,1,1,0
266,Hudson Rodrigues dos Santos,hudson,Hudson,4,6,2.1,5.62,0.47,1.88,16,0,30,1,2,1,0,0,0,0,17,63,2,0,4,3,0,3,0
266,Igor de Carvalho Julião,igor-juliao,Igor Julião,2,6,5.5,5.11,-0.3,2.94,17,0,39,0,5,0,4,0,0,0,30,113,3,0,1,7,0,2,0
266,Frederico Chaves Guedes,fred,Fred,5,6,-0.2,3.2,-0.2,1.92,13,0,15,0,3,0,0,0,0,0,21,44,2,0,4,2,2,2,0
266,Matheus Ferraz Pereira,matheus-ferraz,Matheus Ferraz,3,6,0.5,4.96,0.01,3.08,5,0,5,0,2,0,2,0,0,0,1,14,1,0,1,2,0,0,0
