clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
290,Rafael Martiniano de Miranda Moura,rafael-moura,Rafael Moura,5,7,-0.9,5.39,-1.31,1.77,15,0,30,0,5,0,0,0,0,0,13,76,0,0,6,10,5,15,0
290,Gustavo Blanco Petersen Macedo,gustavo-blanco,Gustavo Blanco,4,6,0,4.52,0,-0.35,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
290,Henrique Almeida Caixeta Nascentes,henrique-almeida,Henrique Almeida,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Fábio Pizarro Sanches,fabio-sanches,Fábio Sanches,3,3,2.8,6.26,-0.22,3.01,16,0,12,1,3,0,6,0,0,0,14,35,0,0,1,3,0,0,0
290,Wanderson de Jesus Martins,caju,Caju,2,6,0,3.85,0,2.49,11,0,8,0,0,0,2,0,0,0,7,95,1,0,1,4,0,0,0
290,Marcelo Rangel da Rosa,marcelo-rangel,Marcelo Rangel,1,6,0,0.77,0,-3.45,2,0,0,0,1,0,0,1,0,3,0,29,0,0,0,0,0,0,0
290,Heron Crespo da Silva,heron,Heron,3,7,0,0.87,0,-0.13,11,0,9,0,3,0,1,0,0,0,3,34,0,0,0,0,0,0,0
290,Pedro Henrique Marinho Maria,pedro-marinho,Pedro Marinho,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Juan de Dios Pintado Leines,pintado,Pintado,2,6,0,2.61,0,2.14,11,0,16,0,4,0,1,0,0,0,11,53,0,0,1,2,0,1,0
290,Filipe Cândido da Trindade,filipe-trindade,Filipe Trindade,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Matheus Alves da Silva Cardoso,matheus-alves,Matheus Alves,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Jefferson Junio Antônio da Silva,jefferson,Jefferson,2,7,5.3,6.06,-0.61,3.24,12,0,7,1,1,1,5,0,0,0,10,78,0,0,0,4,1,2,0
290,Kevin Martín Quevedo Mathey,quevedo,Quevedo,5,6,0,0.85,0,0.4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
290,Miguel Ferreira Damasceno,miguel-figueira,Miguel Figueira,4,7,4.6,2.43,0.29,1.88,9,0,14,0,2,0,0,0,0,0,11,18,1,0,0,4,1,0,0
290,Kaio Nunes Ferreira,kaio,Kaio,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,David de Duarte Macedo,david-duarte,David Duarte,3,7,5,4.9,0.03,3.38,14,0,9,0,1,1,5,0,0,0,4,79,0,0,3,5,1,0,0
290,Breno Washington Rodrigues da Silva,breno,Breno,4,7,5.7,4.91,0.25,2.09,16,0,38,0,3,1,0,0,0,0,19,48,0,1,2,4,0,0,0
290,Iago Pereira Mendonça,iago-mendonca,Iago Mendonça,3,7,6.1,1.9,0.9,6.1,1,0,3,0,1,0,1,0,0,0,0,10,0,0,0,2,0,0,0
290,Daniel Sartori Bessa,daniel-bessa,Daniel Bessa,4,6,0,6.46,0,2.65,12,0,19,0,3,0,0,0,0,0,9,74,0,1,4,4,2,0,0
