clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
284,Renato Portaluppi,renato-gaucho,Renato Gaúcho,6,7,4.37,12.8,-0.64,4.12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Victor Ferraz Macedo,victor-ferraz,Victor Ferraz,2,7,0,8.05,0,2.82,7,0,5,0,1,0,2,0,0,0,2,58,2,0,2,2,0,0,0
284,Pedro Tonon Geromel,pedro-geromel,Pedro Geromel,3,6,0,10.79,0,4.49,10,0,9,0,2,1,5,0,0,0,6,53,0,0,0,4,0,1,0
284,Vanderlei Farias da Silva,vanderlei,Vanderlei,1,7,8,9.04,0.07,2.8,17,0,0,0,1,0,6,14,0,14,3,100,0,0,0,0,0,0,0
284,Diego Souza de Andrade,diego-souza,Diego Souza,5,6,0,11.84,0,3.89,16,0,20,0,3,1,0,0,0,0,17,81,1,0,6,14,7,1,1
284,Luiz Fernando Moraes dos Santos,luiz-fernando,Luiz Fernando ,5,2,0.5,5.02,-0.43,1.88,16,0,15,0,1,1,0,0,0,0,14,68,2,0,5,6,2,3,0
284,Brenno Oliveira Fraga Costa,brenno,Brenno,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Júlio César Jacobi,julio-cesar,Júlio César,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Maicon Thiago Pereira de Souza,maicon,Maicon,4,6,0,3.39,0,0.7,10,0,8,0,1,0,0,0,0,0,3,35,0,0,3,3,0,0,0
284,Diogo Barbosa Mendanha,diogo-barbosa,Diogo Barbosa,2,2,0,9.03,0,3.32,17,0,11,0,1,0,4,0,0,0,15,109,1,0,1,6,0,1,0
284,Walter Kannemann,kannemann,Kannemann,3,7,7.9,10.93,0.23,4.79,8,0,23,0,4,0,5,0,0,0,10,30,0,0,2,3,0,0,0
284,Luis Manuel Orejuela García,orejuela,Orejuela,2,5,5.7,10.1,-0.08,5.19,17,0,27,0,1,0,8,0,0,0,23,164,0,1,3,7,1,1,0
284,Jean Pyerre Casagrande Silveira Correa,jean-pyerre,Jean Pyerre,4,7,0,11.49,0,4.65,8,0,5,0,0,0,0,0,0,0,7,46,1,1,3,14,1,0,0
284,Fabrício do Rosário dos Santos,fabricio,Fabrício,5,6,1.4,0.91,0.14,0.7,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
284,Everton Cardoso da Silva,everton,Everton,4,6,0,4.91,0,1.38,9,0,14,0,1,0,0,0,0,0,11,42,1,0,3,2,0,4,0
284,Guilherme Alecsander Guedes,guilherme-guedes,Guilherme Guedes,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,David Braz de Oliveira Filho,david-braz,David Braz,3,6,0,9.51,0,3.96,17,0,13,0,1,1,5,0,0,0,6,76,0,1,2,5,2,0,0
284,Leonardo Gomes da Conceição Silva,leonardo,Leonardo,2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Jonathan Doin,paulo-miranda,Paulo Miranda,3,5,0,2.56,0,1.11,8,0,11,0,1,0,2,0,0,0,2,36,0,0,0,0,0,0,0
284,Eduardo Gabriel Aquino Cossa,pepe,Pepê,5,7,1.1,14.2,-1.3,6.97,19,0,8,0,0,0,0,0,0,0,43,87,4,1,8,12,7,3,0
284,Thaciano Mickael da Silva,thaciano,Thaciano,4,2,-0.5,4.66,-0.2,1.78,13,0,9,0,1,0,0,0,0,0,8,25,0,0,3,5,1,1,0
284,Isaque Elias Brito,isaque,Isaque,5,6,0,5.37,0,2.48,19,0,12,0,0,0,0,0,0,0,11,50,1,0,8,15,2,2,0
284,Ruan Tressoldi Netto,ruan,Ruan,3,6,0,0.77,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Lucas Araújo de Oliveira,lucas-araujo,Lucas Araújo,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Rildo Gonçalves de Amorim Filho,rildo,Rildo,4,6,0,0.79,0,0.15,2,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
284,Paulo Victor Mileo Vidotti,paulo-victor,Paulo Victor,1,6,0,6.36,0,4.33,6,0,0,0,0,0,3,5,0,5,0,40,1,0,0,0,0,0,0
284,Bruno Cortês Barbosa,bruno-cortez,Bruno Cortez,2,2,5,9.83,0.12,3.01,17,0,20,0,1,1,7,0,0,0,17,110,0,0,1,2,0,2,0
284,Alisson Euler de Freitas Castro,alisson,Alisson,4,5,0,11.51,0,5.76,13,0,12,0,1,0,0,0,0,0,35,109,4,1,13,17,1,4,0
284,Antônio Josenildo Rodrigues de Oliveira,rodrigues,Rodrigues,3,7,2.9,2.46,-0.57,1.74,10,0,4,0,3,0,4,0,0,0,2,43,0,0,1,3,0,0,0
284,Patrick Machado Ferreira ,patrick,Patrick,4,6,0.8,2.32,-0.42,0.15,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
284,Matheus Henrique de Souza,matheus-henrique,Matheus Henrique,4,7,2.1,6.33,-1.02,1.67,18,0,25,0,4,1,0,0,0,0,42,89,1,0,3,6,0,0,0
284,César Ignacio Pinares Tamayo,pinares,Pinares,4,2,0,7.85,0,5.2,2,0,1,0,0,0,0,0,0,0,2,9,0,0,1,2,1,0,0
284,Lucas Silva Borges,lucas-silva,Lucas Silva,4,6,3.8,5.61,-0.76,1.87,20,0,16,0,4,0,0,0,0,0,26,68,0,1,5,8,1,0,0
284,Darlan Pereira Mendes,darlan,Darlan,4,7,4.7,5.19,0.72,2.2,14,0,14,0,2,0,0,0,0,0,7,43,0,0,1,3,1,0,0
284,Guilherme da Silva Azevedo,guilherme-azevedo,Guilherme Azevedo,5,6,0,1.74,0,1.4,7,0,2,0,0,0,0,0,0,0,8,7,0,0,2,2,0,1,0
284,Vanderson de Oliveira Campos,vanderson,Vanderson,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Diego Churín Puyo,churin,Churín,5,7,1.6,8.83,0.08,3.23,6,0,8,0,0,0,0,0,0,0,4,17,1,1,0,2,1,1,0
284,Róbson Michael Signorini,robinho,Robinho,4,6,0,4.19,0,0.93,11,0,11,0,2,0,0,0,0,0,12,68,2,0,1,3,0,0,0
284,Aldemir dos Santos Ferreira,ferreira,Ferreira,5,2,3.1,5.12,-0.22,3.63,9,0,7,0,0,0,0,0,0,0,6,18,0,0,6,6,2,0,0
