clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
277,Lucas Veríssimo da Silva,lucas-verissimo,Lucas Veríssimo,3,6,0,7.4,0,2.2,15,0,23,0,6,0,2,0,0,0,7,90,1,0,4,4,1,2,0
277,Vladimir Orlando Cardoso de Araújo Filho,vladimir,Vladimir,1,6,0,6.43,0,2.93,3,0,0,0,0,0,0,4,0,3,0,12,0,0,0,0,0,0,0
277,Mário Sérgio Santos Costa,marinho,Marinho,5,2,0,26.03,0,10.6,20,0,28,0,4,0,0,0,0,0,95,115,6,1,17,25,14,17,0
277,Yeferson Julio Soteldo Martínez,soteldo,Soteldo,5,6,0,6.32,0,3.07,16,0,11,0,6,0,0,0,0,0,30,118,3,0,7,13,3,3,0
277,Marcos Rogério Ricci Lopes,para,Pará,2,6,0,7.23,0,2.03,19,0,28,0,3,0,4,0,0,0,20,126,0,0,2,10,0,2,0
277,Felipe Jonatan Rocha Andrade,felipe-jonatan,Felipe Jonatan,2,7,0.9,11.53,-0.3,4.21,23,0,26,0,5,0,4,0,0,0,25,189,1,0,3,13,2,1,0
277,Alison Lopes Ferreira,alison,Alison,4,7,1.4,7.79,-0.38,1.46,12,0,18,0,2,2,0,0,0,0,16,53,1,0,0,1,0,0,0
277,Jonathan Copete Valencia,copete,Copete,5,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Jean Mota Oliveira de Sousa,jean-mota,Jean Mota,4,2,3.7,4.36,0.65,1.68,17,0,21,0,1,0,0,0,0,0,16,65,1,1,6,8,0,0,0
277,Madson Ferreira dos Santos,madson,Madson,2,7,6.5,6.89,1.22,3.74,18,0,6,0,2,0,2,0,0,0,12,124,4,1,4,0,4,2,0
277,Luiz Felipe do Nascimento dos Santos,luiz-felipe,Luiz Felipe,3,7,0.4,3.57,-0.03,1.57,7,0,4,0,0,0,1,0,0,0,3,25,0,0,0,0,0,0,0
277,Luan Peres Petroni,luan-peres,Luan Peres ,3,3,0,6.18,0,2.14,21,0,7,0,2,1,4,0,0,0,20,112,1,0,1,3,0,0,0
277,Raniel Santana de Vasconcelos,raniel,Raniel,5,5,0,5.16,0,2.95,4,0,7,0,0,0,0,0,0,0,11,7,0,0,2,2,0,3,0
277,Jobson Souza Santos,jobson,Jobson,4,6,0,3.4,0,1.41,17,0,32,0,6,0,0,0,0,0,15,101,1,0,1,3,1,2,0
277,Diego Cristiano Evaristo,diego-pituca,Diego Pituca,4,7,0,8.33,0,2.43,22,0,29,0,3,0,0,0,0,0,31,101,0,0,4,6,1,2,0
277,John Victor Maciel Furtado,john-victor,John Victor,1,7,0,1.21,0,3.3,4,0,0,0,0,0,1,5,0,5,3,33,0,0,0,0,0,0,0
277,Arthur Gomes Lourenço,arthur-gomes,Arthur Gomes,5,6,0,3.83,0,1.17,14,0,16,0,1,1,0,0,0,0,12,61,0,0,8,3,1,1,0
