clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
292,Hernane Vidal Souza,hernane,Hernane,5,6,0,2.72,0,1.32,16,0,7,0,2,0,0,0,0,0,18,17,0,0,0,3,2,0,0
292,Jonatan David Gomez Ospina,jonatan-gomez,Jonatan Gomez,4,6,1,9.31,-0.17,1.41,21,0,18,0,1,0,0,0,0,0,29,59,0,0,2,14,1,1,0
292,Lucas Henrique Ferreira Venuto,lucas-venuto,Lucas Venuto,5,6,0,1.89,0,0.89,7,0,3,0,0,0,0,0,0,0,10,23,0,1,0,0,0,0,0
292,Francisco Alves da Silva Melo,chico,Chico,3,6,0,2.78,0,2.74,11,0,6,0,1,0,4,0,0,0,2,47,0,0,0,1,0,0,0
292,Maxwell Lima Santos Silva,maxwell,Maxwell,5,6,0,2.1,0,0.95,4,0,1,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0
292,Carlos Eduardo Soares Mota,carlos-eduardo,Carlos Eduardo,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Vinícius Santana da Silva,vinicius-popo,Vinícius Popó,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Ronaldo Henrique Silva,ronaldo-silva,Ronaldo Silva,5,6,0,0.81,0,-2.2,3,0,1,0,1,1,0,0,0,0,0,3,0,0,1,0,0,2,0
292,Carlos Eugenio Júnior Tavares dos Santos,junior-tavares,Júnior Tavares,2,7,7,5.65,1.24,3.47,8,0,6,0,0,0,3,0,0,0,13,45,0,0,2,3,0,0,0
292,Patric Cabral Lalau,patric,Patric,2,7,12.2,10.12,2.16,3.11,23,0,33,0,2,1,4,0,0,0,27,207,5,1,2,12,1,5,0
292,Pedro Henrique Nunes Silva,pedrao,Pedrão,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Helber Ítalo dos Santos,italo,Ítalo,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Túlio Galindo Bandeira de Melo,tulio,Túlio,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Ricardo Ribeiro de Lima,ricardinho,Ricardinho,4,2,0,2.96,0,1.61,20,0,20,0,3,0,0,0,0,0,31,50,0,0,6,2,0,2,0
292,Jair Ventura,jair-ventura,Jair Ventura,6,7,7.31,7.88,1.13,3.09,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Marcos Vinicius Serrato,marcos-serrato,Marcos Serrato,4,6,0,2.3,0,-0.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
292,Alesandro dos Santos Pereira,ale-santos,Alê Santos,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Luan Polli Gomes,luan-polli,Luan Polli ,1,7,7.9,5.95,-0.05,2.09,17,0,0,0,3,0,5,21,0,24,2,205,0,0,0,0,0,0,0
292,João Igor Oliveira de Santana,joao-igor,João Igor,4,6,0,1.93,0,-0.37,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
292,Iago Justen Maidana Martins,iago-maidana,Iago Maidana,3,7,8.3,7.31,1.79,2.34,22,0,24,0,5,0,4,0,0,0,15,147,0,0,2,7,3,0,0
292,Maílson Tenório dos Santos,mailson,Maílson,1,6,0,0.98,0,-0.4,7,0,1,0,1,0,0,6,0,10,1,58,0,0,0,0,0,0,0
292,Sander Henrique Bortolotto,sander,Sander,2,6,0,8.94,0,2.43,14,0,15,0,3,1,1,0,0,0,28,111,0,0,1,3,0,0,0
292,Bruno Roberto Pereira da Silva,bruninho,Bruninho,4,6,0,3.48,0,1.19,11,0,5,0,1,0,0,0,0,0,3,23,0,2,3,3,0,1,0
292,Lucas Andrés Mugni,lucas-mugni,Lucas Mugni,4,7,1.6,4.73,-0.06,2.91,20,0,22,0,2,0,0,0,0,0,13,126,2,0,4,8,1,4,0
292,Marcos Vinícius Sousa Natividade,marquinhos,Marquinhos,5,7,2.8,6.9,-0.34,3.22,21,0,25,0,6,0,0,0,0,0,77,103,0,0,2,8,3,0,0
292,Ewerthon Diógenes Da Silva,ewerthon,Ewerthon,2,6,0,2.96,0,4.6,1,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0
292,Luciano Batista da Silva Junior,luciano-juba,Luciano Juba,2,6,4.7,3.25,0.11,2.38,15,0,10,0,1,0,3,0,0,0,1,109,2,2,1,1,0,0,0
292,Thiago Neves Augusto,thiago-neves,Thiago Neves,4,7,10.1,6.15,1.78,2.67,17,0,6,0,1,0,0,0,0,0,8,105,2,0,8,9,3,0,0
292,Dalberto Luan Belo,dalberto,Dalberto,5,7,4.8,3.02,1.61,0.9,2,0,7,0,0,0,0,0,0,0,0,7,0,1,2,2,0,2,0
292,Marcos Antônio Almeida Silva,marcao-silva,Marcão Silva,4,7,1.9,4.48,0.26,1.96,13,0,24,0,3,0,0,0,0,0,10,17,0,0,0,4,1,0,0
292,Gustavo Silva de Oliveira,gustavo-oliveira,Gustavo Oliveira,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Mikael Filipe Viana,mikael,Mikael,5,6,0.7,3.04,0.1,1.66,8,0,2,0,0,0,0,0,0,0,2,9,0,0,3,2,1,0,0
292,Márcio Rodrigues Araújo,marcio-araujo,Márcio Araújo,4,6,0,3.47,0,0.67,6,0,6,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0
292,Rafael Thyere de Albuquerque Marques,rafael-thyere,Rafael Thyere,3,6,0,2.91,0,2.47,3,0,1,0,1,0,2,0,0,0,0,11,0,0,0,0,0,0,0
292,Leandro Barcia Montero,leandro-barcia,Leandro Barcia,5,5,0,7.56,0,2.94,16,0,19,0,2,0,0,0,0,0,20,86,0,0,6,6,3,6,0
292,Roberto Pimenta Vinagre Filho,betinho,Betinho,4,6,0.4,4.22,0.08,1.67,12,0,25,0,3,0,0,0,0,0,10,58,1,0,0,3,0,0,0
292,Adryelson Shawann Lima Silva,adryelson,Adryelson,3,7,4.3,3.99,0.96,1.24,22,0,29,1,6,0,5,0,0,0,14,80,0,1,2,6,0,1,0
292,Ronaldo Henrique Ferreira da Silva,ronaldo-henrique,Ronaldo Henrique,4,2,4.5,3.47,0.61,0.76,12,0,13,0,2,0,0,0,0,0,8,26,0,0,0,4,0,0,0
292,Raul Prata,raul-prata,Raul Prata,2,6,8.2,5.87,0.31,7.3,3,0,1,0,0,0,3,0,0,0,2,8,0,0,1,0,0,0,0
