clube_id,nome,slug,apelido,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
276,Luan Vinícius da Silva Santos ,luan,Luan,4,6,-0.7,3.34,-0.24,1.19,14,0,15,0,4,0,0,0,0,0,7,26,0,0,2,1,0,0,0
276,Walce da Silva Costa Filho,walce,Walce,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Bruno Fabiano Alves,bruno-alves,Bruno Alves,3,6,1.5,8.03,-0.98,3.04,14,0,15,0,1,0,5,0,0,0,21,37,0,0,0,4,0,0,0
276,Fernando Diniz Silva,fernando-diniz,Fernando Diniz,6,6,1.85,9.49,-0.5,3.84,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Tiago Luis Volpi,tiago-volpi,Tiago Volpi,1,6,1.5,12.94,-0.57,3.95,21,0,0,0,1,0,6,20,3,20,4,139,1,0,0,0,0,0,0
276,Rodrigo dos Santos de Freitas,rodrigo-freitas,Rodrigo Freitas,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Paulo Henrique Pereira da Silva,paulinho-boia,Paulinho Bóia,5,6,0,4.79,0,3.1,9,0,8,0,0,0,0,0,0,0,18,22,0,2,4,6,0,3,0
276,Juan Francisco Torres Belén,juanfran,Juanfran,2,6,-0.4,5.95,-0.79,2.72,11,0,7,0,2,0,3,0,0,0,6,54,1,0,1,2,0,0,0
276,Igor Vinícius de Souza,igor-vinicius,Igor Vinícius,2,6,2.3,5.71,-0.53,2.45,15,0,30,0,4,0,4,0,0,0,11,84,2,0,4,6,0,0,0
276,Pablo Felipe Teixeira,pablo,Pablo,5,6,2.9,7.52,0.02,1.78,17,0,22,0,1,0,0,0,0,0,14,33,1,0,5,17,1,8,0
276,Anderson Hernanes de Carvalho Andrade Lima,hernanes,Hernanes,4,6,1,7.4,0.31,1.75,11,0,12,0,3,0,0,0,0,0,14,30,0,0,5,4,1,0,0
276,Brenner Souza da Silva,brenner,Brenner,5,6,2.1,6.36,0.17,4.86,17,0,14,0,3,0,0,0,0,0,26,30,1,1,10,14,6,5,0
276,Leonardo Pinheiro da Conceição,leo,Léo,2,6,0,3.72,0,1.49,14,0,9,0,2,0,2,0,0,0,13,69,1,0,0,1,0,0,0
276,Welington Damascena Santos,wellington,Wellington ,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Vitor Frezarin Bueno,vitor-bueno,Vitor Bueno,4,6,1.1,7.27,0.17,2.45,18,0,6,0,2,0,0,0,0,0,20,67,1,0,8,9,2,2,0
276,Igor Silveira Gomes,igor-gomes,Igor Gomes,4,6,1.5,3.78,0.3,1.26,21,0,26,0,2,0,0,0,0,0,22,86,1,0,8,6,1,1,0
276,Antonio Javier Galeano Ferreira,galeano,Galeano,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Igor Matheus Liziero Pereira ,liziero,Liziero,4,5,0,4.4,0,1.02,5,0,7,0,1,0,0,0,0,0,4,44,0,0,2,2,0,0,0
276,Danilo das Neves Pinheiro,tche-tche,Tchê Tchê,4,6,-0.3,7.26,-0.05,2,19,0,13,0,2,0,0,0,0,0,22,61,0,0,6,8,1,0,0
276,Lucas Estella Perri,lucas-perri,Lucas Perri,1,5,0,1.1,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Dênis de Oliveira Aguiar Júnior,junior,Júnior,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Santiago Tréllez Vivero,trellez,Tréllez,5,6,0,2.82,0,0.25,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0
276,Diego Henrique Costa Barbosa,diego,Diego,3,6,0,3.8,0,2.58,14,0,29,0,2,0,4,0,0,0,14,62,0,0,3,4,0,0,0
276,Thiago Couto Wenceslau,thiago-couto,Thiago Couto,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Gonzalo Rodrigo Carneiro Méndez,gonzalo-carneiro,Gonzalo Carneiro,5,6,0,3.01,0,1.93,3,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
276,Luciano da Rocha Neves,luciano,Luciano,5,6,1.8,9.74,-1.59,6.48,19,0,23,0,3,0,0,0,0,0,32,88,1,1,5,11,11,5,0
276,Gabriel Davi Gomes Sara,gabriel-sara,Gabriel Sara,4,6,4.9,5,0.39,2.96,20,0,23,0,5,0,0,0,0,0,23,125,1,0,6,18,4,4,0
276,Patryck Lanza dos Reis,patryck,Patryck,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Daniel Alves da Silva,daniel-alves,Daniel Alves,4,6,-2.9,9.9,-1.48,1.52,15,0,38,0,7,0,0,0,0,0,26,179,2,0,4,15,1,2,0
276,Reinaldo Manoel da Silva,reinaldo,Reinaldo,2,6,2.3,13.79,-0.56,5,19,0,24,0,3,0,6,0,0,0,18,247,3,0,10,7,4,0,0
276,Joao Robin Rojas Mendoza,joao-rojas,Joao Rojas,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Jonas Gabriel da Silva Nunes,toro,Toró,5,6,0,3.33,0,1.54,5,0,0,0,0,0,0,0,0,0,1,4,1,0,0,2,0,0,0
276,Rodrigo Nestor Bertalia,rodrigo-nestor,Rodrigo Nestor,4,6,0,1.79,0,0.43,3,0,2,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0
276,Robert Abel Arboleda Escobar,arboleda,Arboleda,3,6,1.7,8.75,-0.11,3.43,8,0,8,0,2,0,3,0,0,0,3,24,0,0,4,2,1,0,0
