id,nome,abreviacao,nome_fantasia
262,Flamengo,FLA,Flamengo
263,Botafogo,BOT,Botafogo
264,Corinthians,COR,Corinthians
265,Bahia,BAH,Bahia
266,Fluminense,FLU,Fluminense
267,Vasco,VAS,Vasco
275,Palmeiras,PAL,Palmeiras
276,São Paulo,SAO,São Paulo
277,Santos,SAN,Santos
280,Bragantino,BGT,Bragantino
282,Atlético-MG,ATL,Atlético-MG
284,Grêmio,GRE,Grêmio
285,Internacional,INT,Internacional
290,Goiás,GOI,Goiás
292,Sport,SPO,Sport
293,Athlético-PR,CAP,Athlético-PR
294,Coritiba,CFC,Coritiba
354,Ceará,CEA,Ceará
356,Fortaleza,FOR,Fortaleza
373,Atlético-GO,ACG,Atlético-GO
