clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
293,Paulo César Autuori de Mello,paulo-autuori,Paulo Autuori,36943,22,6,7,5.45,8.83,0.15,3.28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Jonathan Cícero Moreira,jonathan,Jonathan,37662,22,2,6,0,9.64,0,3.07,8,0,4,0,2,0,4,0,0,0,4,45,1,0,0,0,0,0,0
293,Márcio Gonzaga de Azevedo,marcio-azevedo,Márcio Azevedo,42491,22,2,5,0,2.88,0,0.18,6,0,9,0,1,0,1,0,0,0,4,49,0,0,0,0,0,1,0
293,Aderbar Melo dos Santos Neto,santos,Santos,69012,22,1,6,8.2,6.56,0.89,1.4,16,0,1,0,0,0,4,10,1,17,1,106,0,0,0,0,0,0,0
293,Fernando Canesin Matos,fernando-canesin,Fernando Canesin,81585,22,4,6,0,1.17,0,-0.48,5,0,3,0,2,0,0,0,0,0,1,12,0,0,0,1,0,0,0
293,Walter Henrique da Silva,walter,Walter,62128,22,5,6,0,2.93,0,0.25,8,0,2,0,0,0,0,0,0,0,2,13,0,0,1,2,0,1,0
293,Wellington Aparecido Martins,wellington,Wellington,62129,22,4,7,-1.6,0.78,-0.48,-0.96,16,0,35,0,8,0,0,0,0,0,7,60,0,0,1,4,0,0,0
293,Richard Cândido Coelho,richard,Richard,86711,22,4,6,0,2,0,0.82,14,0,16,0,2,0,0,0,0,0,10,43,0,0,1,2,0,0,0
293,Jandrei Chitolina Carniel,jandrei,Jandrei,86508,22,1,6,0,9.01,0,5.35,4,0,0,0,0,0,2,5,0,3,0,26,0,0,0,0,0,0,0
293,Pedro Henrique Ribeiro Gonçalves,pedro-henrique,Pedro Henrique,87225,22,3,7,8.5,6.34,0.42,3.67,13,0,6,0,1,0,5,0,0,0,8,50,0,0,1,2,0,0,0
293,Renato Kayzer de Souza,renato-kayzer,Renato Kayzer,92696,22,5,2,-0.7,6.78,-1.36,5.11,16,0,31,0,2,0,0,0,0,0,26,62,1,0,13,15,7,10,0
