clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
285,Abel Carlos da Silva Braga,abel-braga,Abel Braga,40006,22,6,7,1.85,10.08,-0.49,1.72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Edenílson Andrade Dos Santos,edenilson,Edenílson,63289,22,4,6,2.3,8.3,0.4,2.36,20,0,32,0,4,0,0,0,0,0,22,147,3,0,5,11,2,2,0
285,Andrés Nicolas D'Alessandro,d-alessandro,D'Alessandro,62023,22,4,7,-0.4,2.53,-0.09,0.09,17,0,4,0,3,0,0,0,0,0,10,62,0,0,4,3,0,3,0
285,Marcelo Lomba do Nascimento,marcelo-lomba,Marcelo Lomba,68872,22,1,7,-4.8,7.86,-1.49,0.8,22,0,0,0,2,0,8,12,0,22,3,249,0,0,0,0,0,0,0
285,Rodrigo Modesto da Silva Moledo,rodrigo-moledo,Rodrigo Moledo,63354,22,3,6,0,7.07,0,3.54,13,0,6,0,2,0,5,0,0,0,13,22,0,0,0,1,1,0,0
285,Víctor Leandro Cuesta,victor-cuesta,Víctor Cuesta,79113,22,3,7,3.2,10.36,0.51,2.19,20,0,31,0,7,0,8,0,0,0,21,144,0,0,2,0,0,0,0
285,Danilo Fernandes Batista,danilo-fernandes,Danilo Fernandes,69051,22,1,6,0,4.27,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Marcos Guilherme de Almeida Santos Matos,marcos-guilherme,Marcos Guilherme ,83266,22,4,6,0.4,2.91,0.28,0.46,19,0,20,0,1,0,0,0,0,0,8,41,0,1,3,6,0,5,0
285,Patrick Bezerra do Nascimento,patrick,Patrick,83433,22,4,7,0,12.71,0,5.14,18,0,27,0,1,0,0,0,0,0,33,89,2,3,6,8,3,2,0
285,Uendel Pereira Gonçalves,uendel,Uendel,60852,22,2,7,-4.7,2.55,-1,0.98,9,0,16,0,1,0,2,0,0,0,4,92,0,0,0,0,0,0,0
