clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
292,Ricardo Ribeiro de Lima,ricardinho,Ricardinho,68832,22,4,7,0,3.51,0,1.76,18,0,16,0,2,0,0,0,0,0,29,46,0,0,6,2,0,2,0
292,Lucas Andrés Mugni,lucas-mugni,Lucas Mugni,81121,22,4,7,0.6,4.46,-0.07,3,17,0,17,0,1,0,0,0,0,0,10,101,1,0,3,8,1,3,0
292,Rafael Thyere de Albuquerque Marques,rafael-thyere,Rafael Thyere,83048,22,3,6,0,4.25,0,5.2,2,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0
292,Roberto Pimenta Vinagre Filho,betinho,Betinho,82876,22,4,6,0,4.89,0,2,10,0,22,0,3,0,0,0,0,0,10,54,1,0,0,3,0,0,0
292,Patric Cabral Lalau,patric,Patric,60969,22,2,7,0.9,8.13,-0.28,2.8,20,0,27,0,2,1,3,0,0,0,23,179,3,1,2,9,1,5,0
292,Raul Prata,raul-prata,Raul Prata,84855,22,2,6,0,5.56,0,6.85,2,0,1,0,0,0,2,0,0,0,2,8,0,0,0,0,0,0,0
292,Ronaldo Henrique Ferreira da Silva,ronaldo-henrique,Ronaldo Henrique,85149,22,4,6,0,2.73,0,0.45,9,0,10,0,2,0,0,0,0,0,6,18,0,0,0,1,0,0,0
292,Sander Henrique Bortolotto,sander,Sander,86391,22,2,3,-1.5,7.63,-0.82,2.11,13,0,12,0,2,1,1,0,0,0,21,107,0,0,1,3,0,0,0
292,Luan Polli Gomes,luan-polli,Luan Polli ,88916,22,1,7,5.5,5.45,0.16,1.93,14,0,0,0,3,0,4,17,0,19,2,180,0,0,0,0,0,0,0
292,Iago Justen Maidana Martins,iago-maidana,Iago Maidana,89226,22,3,7,1,6.15,-0.02,2.35,19,0,21,0,4,0,3,0,0,0,12,138,0,0,2,6,3,0,0
292,Marcos Vinicius Serrato,marcos-serrato,Marcos Serrato,88307,22,4,6,0,2.3,0,-0.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
292,Jair Ventura,jair-ventura,Jair Ventura,92180,22,6,7,1.46,6.83,-0.03,3.04,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Carlos Eugenio Júnior Tavares dos Santos,junior-tavares,Júnior Tavares,89343,22,2,7,-0.1,4.31,-0.36,3.25,6,0,2,0,0,0,2,0,0,0,8,23,0,0,1,2,0,0,0
292,Thiago Neves Augusto,thiago-neves,Thiago Neves,38277,22,4,6,0.9,4.55,0.3,2.35,15,0,5,0,1,0,0,0,0,0,6,92,2,0,7,8,2,0,0
