clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
267,Breno Vinícius Rodrigues Borges,breno,Breno,50408,22,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Ricardo Manuel Andrade Silva Sá Pinto,ricardo-sa-pinto,Ricardo Sá Pinto,79658,22,6,7,1.57,7.71,-0.85,3.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Ramon de Morais Motta ,ramon,Ramon,68896,22,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Germán Ezequiel Cano,cano,Cano,79631,22,5,7,7.1,13.85,-1.46,5.5,18,0,18,0,0,0,0,0,0,0,12,46,0,1,11,9,10,7,0
267,Glaybson Yago Souza Lisboa,yago-pikachu,Yago Pikachu,80196,22,2,3,-3,6.73,-1.81,2.38,13,0,14,0,3,0,3,0,0,0,21,90,0,1,2,5,0,2,0
267,Henrique Silva Milagres,henrique,Henrique,84893,22,2,7,2.7,6.42,0.71,1.73,15,0,26,0,5,0,3,0,0,0,15,93,0,0,2,0,0,3,0
267,Werley Ananias da Silva,werley,Werley,62974,22,3,6,0,4.16,0,5.6,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
267,Carlos Vinícius Santos de Jesus,carlinhos,Carlinhos,87273,22,4,6,0,3.79,0,1.25,12,0,9,0,0,0,0,0,0,0,7,50,1,0,1,6,0,0,0
267,Leandro Castan da Silva,leandro-castan,Leandro Castan,38505,22,3,7,0,12.47,0,3.02,12,0,12,0,2,0,3,0,0,0,15,45,0,0,1,0,0,0,0
267,Jadson Cristiano Silva de Morais,jadson,Jadson,90428,22,3,6,1.3,4.92,-0.23,3.65,2,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
267,Fellipe Ramos Ignez Bastos,fellipe-bastos,Fellipe Bastos,70116,22,4,6,0,9.49,0,3.42,14,0,23,0,3,0,0,0,0,0,5,56,0,1,3,5,4,0,0
267,Fernando Miguel Kaufmann,fernando-miguel,Fernando Miguel,71571,22,1,6,0,8.56,0,2.59,18,0,0,0,0,0,5,17,2,24,4,141,0,0,0,0,0,0,0
267,Cayo Henrique Nascimento Ferreira,cayo-tenorio,Cayo Tenório,107367,22,2,6,0,4.84,0,3.6,7,0,7,0,3,0,3,0,0,0,13,26,1,0,1,2,0,0,0
267,Alexandre de Almeida da Silva Júnior,juninho,Juninho,107677,22,4,6,0,2.61,-0.78,1.93,4,0,0,0,0,0,0,0,0,0,2,11,1,0,0,1,0,0,0
267,Andrey Nascimento dos Santos,andrey-dos-santos,Andrey dos Santos,109591,22,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Ygor de Oliveira Ferreira,ygor-catatau,Ygor Catatau,100977,22,5,6,-0.1,2.38,-0.31,1.78,9,0,6,0,1,0,0,0,0,0,7,24,1,0,0,3,1,1,0
267,Toko Filipe Batucissa António,toko-filipe,Toko Filipe,110557,22,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Gustavo Adolfo Torres Grueso,gustavo-torres,Gustavo Torres,101413,22,5,7,7.4,6.04,1.73,3.27,3,0,4,0,0,0,0,0,0,0,2,7,1,0,2,2,0,1,0
