clube_id,nome,slug,apelido,atleta_id,rodada_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,RB,FC,GC,CA,CV,SG,DD,DP,GS,FS,PI,A,FT,FD,FF,G,I,PP
266,Frederico Chaves Guedes,fred,Fred,38162,23,5,6,0,3.4,0,2.1,12,0,14,0,3,0,0,0,0,0,20,42,2,0,4,2,2,2,0
266,Anderson Luiz de Carvalho,nene,Nenê,38913,23,4,7,1.2,12.32,-0.4,5,18,0,9,0,2,0,0,0,0,0,31,186,1,0,6,19,7,0,0
266,Egídio de Araújo Pereira Júnior,egidio,Egídio,42145,23,2,7,0,9.3,0,4.22,11,0,14,0,0,0,1,0,0,0,6,143,2,0,5,1,0,0,0
266,Luccas Claro dos Santos,luccas-claro,Luccas Claro,73465,23,3,7,7.7,7.08,0.61,3.05,17,0,8,0,0,0,4,0,0,0,13,89,0,0,1,3,1,3,0
266,Hudson Rodrigues dos Santos,hudson,Hudson,50324,23,4,7,0,5.79,0,2.06,14,0,27,1,1,1,0,0,0,0,12,58,2,0,3,3,0,2,0
266,Lucca Borges Brito,lucca,Lucca,61149,23,5,6,2.2,4.77,-1.29,2.96,5,0,5,0,0,0,0,0,0,0,8,11,0,0,2,0,1,2,0
266,Marcos Felipe de Freitas Monteiro,marcos-felipe,Marcos Felipe ,85004,23,1,7,12.2,2.91,2.14,2.08,4,0,0,0,0,0,1,3,0,5,1,42,1,0,0,0,0,0,0
266,Wellington Alves da Silva,wellington-silva,Wellington Silva,68895,23,5,7,0.1,3.72,-0.11,2.11,15,0,9,0,5,0,0,0,0,0,27,39,1,0,1,4,2,2,0
266,Rodrigo Júnior Paula Silva,digao,Digão,68886,23,3,6,0,5.05,0,3.58,10,0,10,0,4,0,2,0,0,0,7,23,0,0,1,3,2,0,0
266,Yago Felipe da Costa Rocha,yago-felipe,Yago Felipe,87747,23,4,5,0,3.81,0,2.04,16,0,20,0,2,0,0,0,0,0,19,57,0,0,3,6,1,1,0
266,Igor de Carvalho Julião,igor-juliao,Igor Julião,81951,23,2,6,9.3,5.41,1.4,2.78,16,0,38,0,5,0,4,0,0,0,26,105,3,0,1,6,0,2,0
266,Yuri Oliveira Lima,yuri-lima,Yuri Lima,90569,23,4,6,0,2.19,0,1.14,10,0,15,0,3,0,0,0,0,0,6,31,0,0,3,3,0,0,0
266,Douglas Moreira Fagundes,dodi,Dodi,89883,23,4,6,0,11.12,0,4.12,19,0,23,0,3,0,0,0,0,0,34,58,0,0,4,10,1,0,0
266,Muriel Gustavo Becker,muriel,Muriel,69041,23,1,6,0,4.62,0,2.36,19,0,0,0,0,0,4,19,0,20,6,140,0,0,0,0,0,0,0
266,Odair Hellmann,odair-hellmann,Odair Hellmann,92273,23,6,7,5.75,9.89,0.23,3.6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Marcílio Florêncio Mota Filho,nino,Nino,91708,23,3,6,0,5.83,0,3.33,19,0,14,0,2,0,3,0,0,0,29,77,0,0,0,4,2,0,0
266,Matheus Antonio Souza dos Santos,matheus-pato,Matheus Pato,92290,23,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Paulo Henrique Chagas de Lima,ganso,Ganso,62977,23,4,6,-0.5,4.24,-0.23,1.97,15,0,8,0,2,0,0,0,0,0,8,52,2,0,2,3,1,0,0
266,Matheus Ferraz Pereira,matheus-ferraz,Matheus Ferraz,38632,23,3,7,4.4,5.48,0.02,4.9,3,0,4,0,1,0,2,0,0,0,1,10,1,0,1,0,0,0,0
266,Daniel Lima de Castro,daniel,Daniel,107370,23,2,6,0,1.02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Wisney Junio Dias Carvalho,wisney,Wisney,107374,23,2,6,0,2.64,0,2.45,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
266,Higor Gabriel Fernandes Alves,higor,Higor,107371,23,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Mateus Nascimento Soares,nascimento,Nascimento,107372,23,4,6,2.8,1.31,0.31,2.8,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
266,Paulo Victor da Costa Miranda Alves,paulo-victor,Paulo Victor,107373,23,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Danilo Carvalho Barcelos,danilo-barcelos,Danilo Barcelos,84382,23,2,6,0,2.28,0,0.23,14,0,37,0,4,1,3,0,0,0,2,195,1,0,2,3,1,1,0
266,André Trindade da Costa Neto,andre,André,107498,23,4,6,3.1,1.2,0.1,0.42,4,0,5,0,2,0,0,0,0,0,2,8,0,0,0,0,0,0,0
266,Wesley Frazan Bernardo,frazan,Frazan,97528,23,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Caio Fernando de Oliveira,caio-paulista,Caio Paulista,102318,23,5,6,2.4,4.14,-0.71,2.44,14,0,8,0,1,0,0,0,0,0,12,41,1,0,2,4,2,3,0
266,Wanderson Felippe Cardoso dos Santos,felippe-cardoso,Felippe Cardoso,100963,23,5,6,0.5,2.33,-0.08,0.79,14,0,16,0,1,0,0,0,0,0,10,27,0,0,5,4,1,7,0
266,Miguel Silveira dos Santos,miguel,Miguel,105612,23,4,6,0,1.92,0,0.35,2,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
266,Fernando José Pacheco Rivas,fernando-pacheco,Fernando Pacheco,98740,23,5,6,0,2.6,0,0.6,11,0,8,0,1,0,0,0,0,0,9,27,0,1,1,2,0,4,0
266,Lucas Felipe Calegari,calegari,Calegari,104276,23,2,7,14.5,7.02,1.77,6.11,9,0,9,0,0,0,2,0,0,0,26,70,0,0,2,2,0,1,0
266,Michel Daryl Araújo Villar,michel-araujo,Michel Araújo ,107173,23,4,7,0,6,0,2.84,16,0,23,0,5,0,0,0,0,0,50,71,0,0,5,12,1,1,0
266,João Vitor Lopes da Silva,joao-lopes,João Lopes,105629,23,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Luan de Freitas Molarinho Chagas,luan,Luan,105807,23,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Marcos Paulo Costa do Nascimento,marcos-paulo,Marcos Paulo,103645,23,5,7,-1.3,4.88,-1.73,1.5,19,0,9,0,0,0,0,0,0,0,4,55,2,0,0,5,1,1,0
